"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2003/2004","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7920","","","","0"
"2004/2005","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7737","","","","0"
"2005/2006","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7320","","","","0"
"2006/2007","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7401","","","","0"
"2007/2008","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7485","","","","0"
"2008/2009","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7542","","","","0"
"2009/2010","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7722","","","","0"
"2010/2011","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7635","","","","0"
"2011/2012","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7605","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7584","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7380","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7650","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","6948","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","All educators","All ages","Both sexes","Number","223","units","0","v65932896","2.1.1.1","7161","","","","0"
"2002/2003","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1602","","","","0"
"2003/2004","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1587","","","","0"
"2004/2005","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1587","","","","0"
"2005/2006","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1539","","","","0"
"2006/2007","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1548","","","","0"
"2007/2008","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1581","","","","0"
"2008/2009","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1638","","","","0"
"2009/2010","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1644","","","","0"
"2010/2011","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1749","","","","0"
"2011/2012","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1764","","","","0"
"2012/2013","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1767","","","","0"
"2013/2014","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1692","","","","0"
"2014/2015","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1686","","","","0"
"2015/2016","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1683","","","","0"
"2016/2017","Prince Edward Island","2016A000211","All educators","All ages","Both sexes","Number","223","units","0","v65933040","3.1.1.1","1611","","","","0"
"2002/2003","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9591","","","","0"
"2003/2004","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9615","","","","0"
"2004/2005","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9579","","","","0"
"2005/2006","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9708","","","","0"
"2006/2007","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9918","","","","0"
"2007/2008","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9972","","","","0"
"2008/2009","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","10062","","","","0"
"2009/2010","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","10071","","","","0"
"2010/2011","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9744","","","","0"
"2011/2012","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9501","","","","0"
"2012/2013","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9207","","","","0"
"2013/2014","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","8913","","","","0"
"2014/2015","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9150","","","","0"
"2015/2016","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9030","","","","0"
"2016/2017","Nova Scotia","2016A000212","All educators","All ages","Both sexes","Number","223","units","0","v65933184","4.1.1.1","9333","","","","0"
"2002/2003","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7419","","","","0"
"2003/2004","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7473","","","","0"
"2004/2005","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7509","","","","0"
"2005/2006","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7509","","","","0"
"2006/2007","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7629","","","","0"
"2007/2008","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7899","","","","0"
"2008/2009","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","8079","","","","0"
"2009/2010","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7998","","","","0"
"2010/2011","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7803","","","","0"
"2011/2012","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7683","","","","0"
"2012/2013","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7449","","","","0"
"2013/2014","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","6900","","","","0"
"2014/2015","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","6843","","","","0"
"2015/2016","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7023","","","","0"
"2016/2017","New Brunswick","2016A000213","All educators","All ages","Both sexes","Number","223","units","0","v65933328","5.1.1.1","7515","","","","0"
"2002/2003","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","93084","","","","0"
"2003/2004","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","93360","","","","0"
"2004/2005","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","93201","","","","0"
"2005/2006","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","93270","","","","0"
"2006/2007","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","96132","","","","0"
"2007/2008","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","96222","","","","0"
"2008/2009","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","96144","","","","0"
"2009/2010","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","96930","","","","0"
"2010/2011","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","97032","","","","0"
"2011/2012","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","97149","","","","0"
"2012/2013","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","97617","","","","0"
"2013/2014","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","98112","","","","0"
"2014/2015","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","98313","","","","0"
"2015/2016","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","99243","","","","0"
"2016/2017","Quebec","2016A000224","All educators","All ages","Both sexes","Number","223","units","0","v65933472","6.1.1.1","100812","","","","0"
"2002/2003","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","130824","","","","0"
"2003/2004","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","129912","","","","0"
"2004/2005","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","132678","","","","0"
"2005/2006","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","137889","","","","0"
"2006/2007","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","149712","","","","0"
"2007/2008","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","154962","","","","0"
"2008/2009","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","157302","","","","0"
"2009/2010","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","158172","","","","0"
"2010/2011","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","160455","","","","0"
"2011/2012","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","161523","","","","0"
"2012/2013","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","163311","","","","0"
"2013/2014","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","165702","","","","0"
"2014/2015","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","169314","","","","0"
"2015/2016","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","168045","","","","0"
"2016/2017","Ontario","2016A000235","All educators","All ages","Both sexes","Number","223","units","0","v65933616","7.1.1.1","169572","","","","0"
"2002/2003","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14139","","","","0"
"2003/2004","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14445","","","","0"
"2004/2005","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14280","","","","0"
"2005/2006","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14211","","","","0"
"2006/2007","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14250","","","","0"
"2007/2008","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14346","","","","0"
"2008/2009","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14322","","","","0"
"2009/2010","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14334","","","","0"
"2010/2011","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14433","","","","0"
"2011/2012","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","13065","","","","0"
"2012/2013","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","13479","","","","0"
"2013/2014","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","13662","","","","0"
"2014/2015","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","13707","","","","0"
"2015/2016","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","13908","","","","0"
"2016/2017","Manitoba","2016A000246","All educators","All ages","Both sexes","Number","223","units","0","v65933760","8.1.1.1","14097","","","","0"
"2002/2003","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12348","","","","0"
"2003/2004","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12378","","","","0"
"2004/2005","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12261","","","","0"
"2005/2006","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12171","","","","0"
"2006/2007","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12444","","","","0"
"2007/2008","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12252","","","","0"
"2008/2009","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","11694","","","","0"
"2009/2010","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","11904","","","","0"
"2010/2011","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12099","","","","0"
"2011/2012","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12426","","","","0"
"2012/2013","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12564","","","","0"
"2013/2014","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12726","","","","0"
"2014/2015","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","13044","","","","0"
"2015/2016","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12894","","","","0"
"2016/2017","Saskatchewan","2016A000247","All educators","All ages","Both sexes","Number","223","units","0","v65933904","9.1.1.1","12918","","","","0"
"2002/2003","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","34761","","","","0"
"2003/2004","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","37350","","","","0"
"2004/2005","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","39390","","","","0"
"2005/2006","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","40293","","","","0"
"2006/2007","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","40557","","","","0"
"2007/2008","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","40542","","","","0"
"2008/2009","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","42516","","","","0"
"2009/2010","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","45627","","","","0"
"2010/2011","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","44781","","","","0"
"2011/2012","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","44643","","","","0"
"2012/2013","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","44211","","","","0"
"2013/2014","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","44391","","","","0"
"2014/2015","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","45123","","","","0"
"2015/2016","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","46662","","","","0"
"2016/2017","Alberta","2016A000248","All educators","All ages","Both sexes","Number","223","units","0","v65934048","10.1.1.1","47289","","","","0"
"2002/2003","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","37149","","","","0"
"2003/2004","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36564","","","","0"
"2004/2005","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36330","","","","0"
"2005/2006","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36888","","","","0"
"2006/2007","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","37149","","","","0"
"2007/2008","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","37119","","","","0"
"2008/2009","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36921","","","","0"
"2009/2010","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36372","","","","0"
"2010/2011","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","35958","","","","0"
"2011/2012","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36108","","","","0"
"2012/2013","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36021","","","","0"
"2013/2014","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","35613","","","","0"
"2014/2015","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","35505","","","","0"
"2015/2016","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","35757","","","","0"
"2016/2017","British Columbia","2016A000259","All educators","All ages","Both sexes","Number","223","units","0","v65934192","11.1.1.1","36111","","","","0"
"2002/2003","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","492","","","","0"
"2003/2004","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","489","","","","0"
"2004/2005","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","495","","","","0"
"2005/2006","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","495","","","","0"
"2006/2007","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","510","","","","0"
"2007/2008","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","516","","","","0"
"2008/2009","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","552","","","","0"
"2009/2010","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","570","","","","0"
"2010/2011","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","513","","","","0"
"2011/2012","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","546","","","","0"
"2012/2013","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","879","","","","0"
"2013/2014","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","903","","","","0"
"2014/2015","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","945","","","","0"
"2015/2016","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","873","","","","0"
"2016/2017","Yukon","2016A000260","All educators","All ages","Both sexes","Number","223","units","0","v65934336","12.1.1.1","879","","","","0"
"2002/2003","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","645","","","","0"
"2003/2004","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","681","","","","0"
"2004/2005","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","678","","","","0"
"2005/2006","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","669","","","","0"
"2006/2007","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","672","","","","0"
"2007/2008","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","714","","","","0"
"2008/2009","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","720","","","","0"
"2009/2010","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","705","","","","0"
"2010/2011","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","687","","","","0"
"2011/2012","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","630","","","","0"
"2012/2013","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","672","","","","0"
"2013/2014","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","672","","","","0"
"2014/2015","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","666","","","","0"
"2015/2016","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","654","","","","0"
"2016/2017","Northwest Territories","2016A000261","All educators","All ages","Both sexes","Number","223","units","0","v65934480","13.1.1.1","645","","","","0"
"2002/2003","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","537","","","","0"
"2003/2004","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","528","","","","0"
"2004/2005","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","624","","","","0"
"2005/2006","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","711","","","","0"
"2006/2007","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","702","","","","0"
"2007/2008","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","705","","","","0"
"2008/2009","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","654","","","","0"
"2009/2010","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","651","","","","0"
"2010/2011","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","666","","","","0"
"2011/2012","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","666","","","","0"
"2012/2013","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","801","","","","0"
"2013/2014","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","573","","","","0"
"2014/2015","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","783","","","","0"
"2015/2016","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","762","","","","0"
"2016/2017","Nunavut","2016A000262","All educators","All ages","Both sexes","Number","223","units","0","v65934624","14.1.1.1","864","","","","0"


