"REF_DATE","GEO","DGUID","Work status","Age group","Sex","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009/2010","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5994","","","","0"
"2010/2011","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5856","","","","0"
"2011/2012","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5787","","","","0"
"2012/2013","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5637","","","","0"
"2013/2014","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5274","","","","0"
"2014/2015","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5244","","","","0"
"2015/2016","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5403","","","","0"
"2016/2017","New Brunswick","2016A000213","All educators","All ages","Females","Number","223","units","0","v65933330","5.1.1.3","5766","","","","0"
"2002/2003","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","65106","","","","0"
"2003/2004","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","65931","","","","0"
"2004/2005","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","66321","","","","0"
"2005/2006","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","66804","","","","0"
"2006/2007","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","69078","","","","0"
"2007/2008","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","69432","","","","0"
"2008/2009","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","69705","","","","0"
"2009/2010","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","70566","","","","0"
"2010/2011","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","71154","","","","0"
"2011/2012","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","71763","","","","0"
"2012/2013","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","72375","","","","0"
"2013/2014","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","73101","","","","0"
"2014/2015","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","73434","","","","0"
"2015/2016","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","74412","","","","0"
"2016/2017","Quebec","2016A000224","All educators","All ages","Females","Number","223","units","0","v65933474","6.1.1.3","75789","","","","0"
"2002/2003","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","92694","","","","0"
"2003/2004","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","92556","","","","0"
"2004/2005","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","94953","","","","0"
"2005/2006","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","98784","","","","0"
"2006/2007","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","107784","","","","0"
"2007/2008","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","112368","","","","0"
"2008/2009","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","114600","","","","0"
"2009/2010","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","115521","","","","0"
"2010/2011","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","117771","","","","0"
"2011/2012","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","118746","","","","0"
"2012/2013","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","120969","","","","0"
"2013/2014","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","123729","","","","0"
"2014/2015","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","127488","","","","0"
"2015/2016","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","126720","","","","0"
"2016/2017","Ontario","2016A000235","All educators","All ages","Females","Number","223","units","0","v65933618","7.1.1.3","128253","","","","0"
"2002/2003","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9699","","","","0"
"2003/2004","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9948","","","","0"
"2004/2005","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9888","","","","0"
"2005/2006","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9900","","","","0"
"2006/2007","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","10011","","","","0"
"2007/2008","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","10116","","","","0"
"2008/2009","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","10146","","","","0"
"2009/2010","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","10149","","","","0"
"2010/2011","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","10239","","","","0"
"2011/2012","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9057","","","","0"
"2012/2013","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9375","","","","0"
"2013/2014","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9537","","","","0"
"2014/2015","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9579","","","","0"
"2015/2016","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9744","","","","0"
"2016/2017","Manitoba","2016A000246","All educators","All ages","Females","Number","223","units","0","v65933762","8.1.1.3","9885","","","","0"
"2002/2003","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8043","","","","0"
"2003/2004","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8088","","","","0"
"2004/2005","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8064","","","","0"
"2005/2006","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8109","","","","0"
"2006/2007","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8226","","","","0"
"2007/2008","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8217","","","","0"
"2008/2009","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","7902","","","","0"
"2009/2010","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","7998","","","","0"
"2010/2011","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8229","","","","0"
"2011/2012","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8490","","","","0"
"2012/2013","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8556","","","","0"
"2013/2014","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8703","","","","0"
"2014/2015","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8901","","","","0"
"2015/2016","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8829","","","","0"
"2016/2017","Saskatchewan","2016A000247","All educators","All ages","Females","Number","223","units","0","v65933906","9.1.1.3","8841","","","","0"
"2002/2003","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","24066","","","","0"
"2003/2004","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","26238","","","","0"
"2004/2005","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","27807","","","","0"
"2005/2006","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","28620","","","","0"
"2006/2007","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","29034","","","","0"
"2007/2008","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","29385","","","","0"
"2008/2009","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","31011","","","","0"
"2009/2010","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","33276","","","","0"
"2010/2011","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","32712","","","","0"
"2011/2012","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","32748","","","","0"
"2012/2013","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","32523","","","","0"
"2013/2014","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","32715","","","","0"
"2014/2015","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","33357","","","","0"
"2015/2016","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","34545","","","","0"
"2016/2017","Alberta","2016A000248","All educators","All ages","Females","Number","223","units","0","v65934050","10.1.1.3","35118","","","","0"
"2002/2003","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","24636","","","","0"
"2003/2004","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","24447","","","","0"
"2004/2005","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","24498","","","","0"
"2005/2006","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25122","","","","0"
"2006/2007","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25533","","","","0"
"2007/2008","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25713","","","","0"
"2008/2009","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25713","","","","0"
"2009/2010","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25407","","","","0"
"2010/2011","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25275","","","","0"
"2011/2012","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25551","","","","0"
"2012/2013","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25734","","","","0"
"2013/2014","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25533","","","","0"
"2014/2015","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25518","","","","0"
"2015/2016","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","25830","","","","0"
"2016/2017","British Columbia","2016A000259","All educators","All ages","Females","Number","223","units","0","v65934194","11.1.1.3","26211","","","","0"
"2011/2012","Yukon","2016A000260","All educators","All ages","Females","Number","223","units","0","v114997062","12.1.1.3","162","","","","0"
"2012/2013","Yukon","2016A000260","All educators","All ages","Females","Number","223","units","0","v114997062","12.1.1.3","615","","","","0"
"2013/2014","Yukon","2016A000260","All educators","All ages","Females","Number","223","units","0","v114997062","12.1.1.3","630","","","","0"
"2014/2015","Yukon","2016A000260","All educators","All ages","Females","Number","223","units","0","v114997062","12.1.1.3","672","","","","0"
"2015/2016","Yukon","2016A000260","All educators","All ages","Females","Number","223","units","0","v114997062","12.1.1.3","618","","","","0"
"2016/2017","Yukon","2016A000260","All educators","All ages","Females","Number","223","units","0","v114997062","12.1.1.3","621","","","","0"
"2010/2011","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","","..","","","0"
"2011/2012","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","","..","","","0"
"2012/2013","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","","..","","","0"
"2013/2014","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","","..","","","0"
"2014/2015","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","537","","","","0"
"2015/2016","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","525","","","","0"
"2016/2017","Nunavut","2016A000262","All educators","All ages","Females","Number","223","units","0","v109758676","14.1.1.3","594","","","","0"


