X,Y,objectid,globalid,_date,Year,event_name,classification_status,rating_status,event_type,initial_data_sources,location_description,province,surveys_completed,damage,investigation_initiated_by_ntp,ground_survey_completed_indepen,event_description,web_map_link,CreationDate,Creator,EditDate,Editor,event_subtype,damage_summary,track_length,max_path_width,max_wind_speed,time,parent_storm_type,EFDOD,injuries,concurrent,uniqueID,mean_motion_from,day,month,timeUTC,timezone,fatalities_text,damage_cost_text,EventSummaryMapProvided,Province
-77.3933,47.0783000000001,438,{A76708CE-AE7B-4BAA-8A6D-C52615989E43},2017/06/17 21:30:00+00,2017,Lac Jaconas,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 5.4 km and max. path width of 150 m. Tornado motion from the SSW (approx. 205 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 14:49:52+00,lellio44,2023/03/10 16:45:05+00,jfulle32,,C-T/DOD-5 (LB),5.4,150.0,145.0,1730,,C-T/DOD-5 (LB),,,,205.0,17,June,2130,EDT,0,,,Québec
-76.1745,47.4031000000001,439,{7E21552F-4FA6-494D-81FE-94402AE132E9},2017/06/17 21:59:59+00,2017,Lac Gavreau,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145  km/h, track length of 11.8  km and max. path width of 570 m. Tornado motion from the SW (approx. 230 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 14:50:00+00,lellio44,2023/03/10 16:46:02+00,jfulle32,,C-T/DOD-5 (LB),11.8,570.0,145.0,1800,,C-T/DOD-5 (LB),,,,230.0,17,June,2200,EDT,0,,,Québec
-77.7711,46.8914,441,{F0CB4871-7BC3-4795-820B-543296C062FE},2017/06/17 22:30:00+00,2017,Lac Marion,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef2,yes,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF2, with an estimated max. wind speed of 190 km/h, track length of 4.7 km and max. path width of 280 m. Tornado motion from the SW (approx. 230 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 14:50:21+00,lellio44,2023/03/10 16:46:16+00,jfulle32,,C-T/DOD-6 (LB),4.7,280.0,190.0,1830,,C-T/DOD-6 (LB),,,,230.0,17,June,2230,EDT,0,,,Québec
-76.5307999999999,47.4631000000001,440,{01E11F01-745A-489B-8AE7-CFBEB15588DF},2017/06/17 23:29:59+00,2017,Lac Glossine,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 14.4  km and max. path width of 260 m. Tornado motion from the WSW (approx. 240 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 14:50:15+00,lellio44,2023/03/10 16:46:12+00,jfulle32,,C-T/DOD-5 (LB),14.4,260.0,145.0,1930,,C-T/DOD-5 (LB),,,,240.0,17,June,2330,EDT,0,,,Québec
-76.2872,47.58,436,{49DB8914-8CDC-4BD7-8C96-9C335537E60A},2017/06/17 23:50:00+00,2017,Lac Ewing,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 170 km/h, track length of 4.4 km and max. path width of 360 m. Tornado motion from the SW (approx. 230 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 14:49:36+00,lellio44,2023/03/10 16:45:52+00,jfulle32,,C-T/DOD-5 (LB+),4.4,360.0,170.0,1950,,C-T/DOD-5 (LB+),,,,230.0,17,June,2350,EDT,0,,,Québec
-75.2241999999999,47.6322000000001,1727,{7CCD9C26-4100-4904-8DC4-2C2072FA783C},2017/06/18 17:00:00+00,2017,Lac Bennett (Antoine-Labelle),final_classification_completed,final_rating_completed,Tornado (Land),historical_investigation,Start of damage track,Quebec,satellite,ef1,yes,,"Historical investigation of high-resolution satellite imagery revealed a tornado damage path in forested areas near Lac Bennett. Tornado damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 7.38 km and max. path width of 470 m. Tornado motion was from the SW (approx. 235 degrees).  ",,2023/03/01 02:52:05+00,lellio44,2023/03/01 02:52:05+00,lellio44,,,7.38,470.0,145.0,1730,,C-T/DOD-5 (LB),0,,,235.0,18,June,2130,EDT,0,unknown,no,Québec
-73.0554999999999,48.2955000000001,1726,{EC83079D-3D2F-4B7A-89B2-8C302B83F3BE},2017/06/18 17:00:00+00,2017,Lac Bourque (La Domaine-du-Roy),final_classification_completed,final_rating_completed,Tornado (Land),historical_investigation,Start of damage track,Quebec,satellite,ef1,yes,,"Historical investigation of high-resolution satellite imagery revealed a tornado damage path in forested areas near Lac Bourque. Tornado damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 5.01 km and max. path width of 380 m. Tornado motion was from the WSW (approx. 240 degrees).  ",,2023/03/01 02:50:03+00,lellio44,2023/03/01 02:50:03+00,lellio44,,,5.01,380.0,145.0,1920,,C-T/DOD-5 (LB),0,,,240.0,18,June,2320,EDT,0,unknown,no,Québec
-75.434,46.864,453,{E98D9E07-B1B3-457C-87EE-70FF25545F66},2017/06/18 17:10:00+00,2017,Sainte-Anne-du-Lac,final_classification_completed,final_rating_completed,Tornado (Land),"eccc_eg_forwarded_report,media_article_eg_stratford_beac",Start of damage track,Quebec,"satellite,ground,aerial",ef3,,,"Reports of structural and tree damage in the Sainte-Anne-du-Lac area were investigated by an NTP ground survey team on June 28-30, 2017. Satellite imagery review of storm track revealed a tornado damage path in forested areas. High-resolution aerial imagery was collected in July 2017 for a portion of the damage track and again in January 2018 for the entirety of the track. Damage assessed as EF3, with an estimated max. wind speed of 230 km/h, track length of 30.5 km and max. path width of 1300 m. Tornado motion from the SW (approx. 230 degrees).",,2020/04/19 15:41:32+00,lellio44,2023/03/10 16:46:09+00,jfulle32,,FR12/DOD-9 (LB),30.5,1300.0,230.0,1310,Supercell,FR12/DOD-9 (LB),2,,,230.0,18,June,1710,EDT,0,,,Québec
-75.2130999999999,46.6736000000001,454,{E56BE6BE-8FE9-4EDF-896C-6A0754A4F164},2017/06/18 17:29:59+00,2017,Lac des Cornes,final_classification_completed,final_rating_completed,Tornado (Land),eccc_eg_forwarded_report,Start of damage track,Quebec,"satellite,ground,aerial",ef1,,yes,"Structural and tree damage was reported in the Lac des Cornes area. An NTP ground survey team investigated on June 28-30, 2017. Satellite imagery review of storm track revealed a tornado damage path in forested areas. High-resolution aerial imagery was collected in July 2017 for a portion of the damage track. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 12.3 km and max. path width of 460 m. Tornado motion from the SW (approx. 235 degrees).",,2020/04/19 15:42:18+00,lellio44,2023/03/10 16:45:47+00,jfulle32,,C-T/DOD-5 (LB),12.3,460.0,145.0,1330,Supercell,C-T/DOD-5 (LB),unknown,,,235.0,18,June,1730,EDT,0,unknown,,Québec
-74.3391999999999,47.0967000000001,448,{DB1293B8-AAD8-47AA-81A6-098083E2DB31},2017/06/18 18:30:00+00,2017,Manawan,final_classification_completed,final_rating_completed,Tornado (Land),storm_track_of_interest_eg_base,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 4.8 km and max. path width of 330 m. Tornado motion from the SW (approx. 220 degrees).",,2020/04/19 15:36:36+00,lellio44,2023/03/10 16:45:15+00,jfulle32,,C-T/DOD-5 (LB),4.8,330.0,145.0,1430,Supercell,C-T/DOD-5 (LB),,,,220.0,18,June,1830,EDT,0,,,Québec
-74.1632999999999,47.1704,445,{A9A632DC-989E-410F-894D-F5703028E643},2017/06/18 18:40:00+00,2017,Lac Castelveyre,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 3.4 km and max. path width of 150 m. Tornado motion from the SW (approx. 225 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 15:35:03+00,lellio44,2023/03/10 16:46:08+00,jfulle32,,C-T/DOD-5 (LB),3.4,150.0,145.0,1440,,C-T/DOD-5 (LB),,,,225.0,18,June,1840,EDT,0,,,Québec
-74.2585999999999,47.1692,444,{3E4C8CA1-C795-4D91-8A9F-362621CEA029},2017/06/18 18:40:00+00,2017,Lac Troyes,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 10.2 km and max. path width of 220 m. Tornado motion from the SW (approx. 220 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 15:34:31+00,lellio44,2023/03/10 16:45:51+00,jfulle32,,C-T/DOD-5 (LB),10.2,220.0,145.0,1440,,C-T/DOD-5 (LB),,,,220.0,18,June,1840,EDT,0,,,Québec
-71.201,47.4110000000001,442,{1DC12678-3252-42B4-81C9-73DCDF8D5458},2017/06/18 19:25:00+00,2017,L'Etape,final_classification_completed,final_rating_completed,Tornado (Land),eccc_eg_forwarded_report,Estimated tornado location,Quebec,satellite,ef0,,,"Witness captured video of a tornado south of L’Etape and reported minor damage. Satellite imagery review revealed no visible damage. Based on the detailed witness report, event assessed as EF0, with an estimated max. wind speed of 90 km/h, track length of 1.5 km and max. path width of 50 m. Tornado motion from the SW (approx. 220 deg). ",,2020/04/19 15:33:35+00,lellio44,2022/05/04 17:22:25+00,lellio44,,,1.5,50.0,90.0,1525,,,0,,,220.0,18,June,1925,EDT,0,unknown,,Québec
-73.7155999999999,47.2675,450,{25973E23-D000-40E5-879C-52E4456A7E25},2017/06/18 19:30:00+00,2017,Lac de la Corneille,final_classification_completed,final_rating_completed,Tornado (Land),storm_track_of_interest_eg_base,Start of damage track,Quebec,satellite,ef2,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF2, with an estimated max. wind speed of 190 km/h, track length of 13.7 km and max. path width of 1200 m. Tornado motion from the SW (approx. 235 degrees).",,2020/04/19 15:37:27+00,lellio44,2023/03/10 16:44:49+00,jfulle32,,Trees snapped/uprooted; Initial NTP satellite-based assessment reviewed in late 2022 and estimated max. wind speed lowered from 215 km/h to 190 km/h due to shallow soils,13.7,1200.0,190.0,1530,Supercell,C-T/DOD-6 (LB),0,,,235.0,18,June,1930,EDT,0,unknown,,Québec
-71.715,48.3119,452,{8694D47C-517A-42AA-8FFF-21B0FF6AC143},2017/06/18 19:40:00+00,2017,Hebertville,final_classification_completed,final_rating_completed,Tornado (Land),"eccc_eg_forwarded_report,media_article_eg_stratford_beac",Start of damage track,Quebec,"satellite,ground,aerial",ef2,,,"Witnesses captured photos and video of a tornado east of Hebertville. Tree and structural damage was investigated by an NTP ground survey team on June 28-30, 2017. Satellite imagery review of storm track revealed a tornado damage path in forested areas. High-resolution aerial imagery was collected in July 2017 for most of the damage track. Damage assessed as EF2, with an estimated max. wind speed of 210 km/h, track length of 22.8 km and max. path width of 900 m. Tornado motion from the WSW (approx. 240 degrees).",,2020/04/19 15:40:22+00,lellio44,2023/03/10 16:46:18+00,jfulle32,,FR12/DOD-7 (EXP),22.8,900.0,210.0,1540,Supercell,FR12/DOD-7 (EXP),,,,240.0,18,June,1940,EDT,0,,,Québec
-73.011,47.486,449,{0C727E5B-013F-4069-8F86-3978AAFCF668},2017/06/18 20:19:59+00,2017,Lac Tom,final_classification_completed,final_rating_completed,Tornado (Land),storm_track_of_interest_eg_base,Start of damage track,Quebec,satellite,ef2,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF2, with an estimated max. wind speed of 215 km/h, track length of 6.7 km and max. path width of 1100 m. Tornado motion from the SW (approx. 225 degrees).",,2020/04/19 15:37:01+00,lellio44,2023/03/10 16:45:21+00,jfulle32,,C-T/DOD-6 (LB+),6.7,1100.0,215.0,1620,Supercell,C-T/DOD-6 (LB+),0,,,225.0,18,June,2020,EDT,0,unknown,,Québec
-71.799,48.722,455,{50CBE8E1-2617-4A68-87E5-61E26C39859B},2017/06/18 20:29:59+00,2017,Lac Noir,final_classification_completed,final_rating_completed,Tornado (Land),eccc_eg_forwarded_report,Start of damage track,Quebec,"satellite,ground,aerial",ef1,yes,yes,"Structural and tree damage reported east of Sainte-Monique in the Lac Noir area. An NTP ground survey team investigated on June 28-30, 2017. Satellite imagery review of storm track revealed a tornado damage path in forested areas. High-resolution aerial imagery was collected in July 2017 for a portion of the damage track. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 8.5 km and max. path width of 650 m. Tornado motion from the SW (approx. 235 degrees).",,2020/04/19 15:44:05+00,lellio44,2023/03/10 16:46:04+00,jfulle32,,C-T/DOD-5 (LB),8.5,650.0,145.0,1630,Supercell,C-T/DOD-5 (LB),,,,235.0,18,June,2030,EDT,0,,,Québec
-71.329,48.883,451,{0A5E95C8-B000-4F9E-8D96-3D6F698E85A8},2017/06/18 21:10:00+00,2017,Lac de la Boiteuse,final_classification_completed,final_rating_completed,Tornado (Land),"eccc_eg_forwarded_report,storm_track_of_interest_eg_base",Start of damage track,Quebec,"satellite,aerial",ef1,,,"Witness report of a tornado in the Lac de la Boiteuse area. Satellite imagery review of storm track revealed a tornado damage path in forested areas. High-resolution aerial imagery was collected in July 2017. Damage assessed as EF1, with an estimated max. wind speed of 170 km/h, track length of 11.5 km and max. path width of 500 m. Tornado motion from the SW (approx. 230 degrees).",,2020/04/19 15:38:58+00,lellio44,2023/03/10 16:45:45+00,jfulle32,,C-T/DOD-5 (LB+),11.5,500.0,170.0,1710,Supercell,C-T/DOD-5 (LB+),,,,230.0,18,June,2110,EDT,0,,,Québec
-70.826,49.03,447,{797E39E9-4082-4D34-8EEE-0E4E960AA990},2017/06/18 21:20:00+00,2017,Riviere Beausejour,final_classification_completed,final_rating_completed,Tornado (Land),storm_track_of_interest_eg_base,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 3.3 km and max. path width of 150 m. Tornado motion from the SW (approx. 225 degrees).",,2020/04/19 15:36:07+00,lellio44,2023/03/10 16:45:10+00,jfulle32,,C-T/DOD-5 (LB),3.3,150.0,145.0,1720,Supercell,C-T/DOD-5 (LB),,,,225.0,18,June,2120,EDT,0,,,Québec
-72.414,47.8530000000001,446,{145F2A95-D540-44BF-8DC2-16D90D4452EB},2017/06/18 21:20:00+00,2017,Lac Bachon,final_classification_completed,final_rating_completed,Tornado (Land),storm_track_of_interest_eg_base,Start of damage track,Quebec,satellite,ef2,yes,,"Satellite imagery review of a storm track revealed a tornado damage path through forested areas. Damage assessed as EF2, with an estimated max. wind speed of 190 km/h, track length of 9.6 km and max. path width of 500 m. Tornado motion from the SW (approx. 215 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 15:35:36+00,lellio44,2023/03/10 16:45:28+00,jfulle32,,C-T/DOD-6 (LB),9.6,500.0,190.0,1720,Supercell,C-T/DOD-6 (LB),,,,215.0,18,June,2120,EDT,0,,,Québec
-74.3419,47.2094000000001,443,{78F95BDD-868F-4DA6-8853-034C7B738D4B},2017/06/18 22:40:00+00,2017,Lac Morel,final_classification_completed,final_rating_completed,Tornado (Land),other,Start of damage track,Quebec,satellite,ef1,yes,,"Satellite imagery review revealed a tornado damage path through forested areas. Damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 18.4 km and max. path width of 230 m. Tornado motion from the WSW (approx. 250 degrees). Event time estimated based on archived ECCC radar imagery.",,2020/04/19 15:34:09+00,lellio44,2022/01/20 19:20:45+00,lellio44,,C-T/DOD-5 (LB),18.4,230.0,145.0,1840,,C-T/DOD-5 (LB),,,,250.0,18,June,2240,EDT,0,,,Québec
-100.6916,52.7450000000001,1725,{E5A2FEF9-5667-4042-8698-344A64F7FB48},2017/06/21 17:00:00+00,2017,Pelican Rapids,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC event location,Manitoba,,default_ef0,,,"Summary of ECCC investigation: A witness captured photos and video of a supercell tornado near Pelican Rapids. EF-Scale assessment is EF0-Default as no associated damage was reported. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,2023/03/01 02:48:06+00,lellio44,2023/03/01 02:48:06+00,lellio44,,,,,,1430,Supercell,,0,,,,21,June,1930,CDT,0,unknown,no,Manitoba
-82.4553,49.8384,1724,{72D4D1D9-6B59-4A9C-8393-E4B4E3C8D796},2017/06/22 17:00:00+00,2017,Penelton Lake,final_classification_completed,final_rating_completed,Tornado (Land),historical_investigation,Start of damage track,Ontario,satellite,ef1,yes,,"Historical investigation of high-resolution satellite imagery revealed a tornado damage path in forested areas near Penelton Lake. Tornado damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 4.82 km and max. path width of 160 m. Tornado motion was from the WSW (approx. 255 degrees). ",,2023/03/01 02:47:04+00,lellio44,2023/03/01 02:47:04+00,lellio44,,,4.82,160.0,145.0,2240,,C-T/DOD-5 (LB),0,,,255.0,22,June,240,EDT,0,unknown,no,Ontario
-115.0664,53.893,1723,{65EB95CC-9E60-4586-86EB-7FFA4086EBB0},2017/07/01 17:00:00+00,2017,Paddle River,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC event location,Alberta,,default_ef0,,,"Summary of ECCC investigation: A witness captured photos of a tornado at the Paddle River Dam near Mayerthorpe. EF-Scale assessment is EF0-Default as no associated damage was reported. Information available insufficient to accurately estimate track length, max. path width and tornado motion.",,2023/03/01 02:45:57+00,lellio44,2023/03/01 02:45:57+00,lellio44,,,,,,1451,,,0,,,,1,Jul,2051,MDT,0,unknown,no,Alberta
-101.91,49.5170000000001,1740,{D7714E31-AE05-4485-8781-C0FDF91C8AA1},2017/07/05 15:59:59+00,2017,Alida,final_classification_completed,final_rating_completed,Tornado (Land),other,ECCC estimated start of damage track,Saskatchewan,satellite,ef2,no,,"Summary of ECCC investigation: Witnesses captured photos and video of a tornado north of Alida. An ECCC survey team investigated damage reported at a property in the tornado path. Significant damage to a home was documented (including total roof loss and some wall damage), along with damage to a quonset, trees, a trailer and an animal feeder on the property. No injuries were reported. ECCC assessment of damage was EF2 tornado, with an estimated max wind speed between 180-220 km/h. ECCC surveyors also noted a visible track of crop damage.

NTP review of satellite imagery in the area revealed some of the visible crop damage from the tornado, with a max. path width of 180 m. Track length is 8.11 km, based on ECCC observations and satellite imagery review. Tornado motion was from the NNW (approx. 335 degrees). NTP review of structural damage to the home confirms an estimated max. wind speed of 195 km/h.",,2023/03/22 17:16:42+00,lellio44,2023/03/22 17:16:42+00,lellio44,,"Roof and wall damage to home, quonset destroyed, trees snapped, smaller trailer moved, animal feeder moved",8.11,180.0,195.0,2040,Supercell,FR/DOD-6 (EXP),0,,,335.0,5,Jul,240,CST,0,unknown,no,Saskatchewan
-70.1591999999999,51.0839,1722,{9C873736-F221-4EFE-85B0-CFD6CD363375},2017/07/06 17:00:00+00,2017,Mont-Valin,final_classification_completed,final_rating_completed,Tornado (Land),historical_investigation,Start of damage track,Quebec,satellite,ef1,yes,,"Historical investigation of high-resolution satellite imagery revealed a tornado damage path in forested areas near Mont-Valin. Tornado damage assessed as EF1, with an estimated max. wind speed of 145 km/h, track length of 4.34 km and max. path width of 230 m. Tornado motion was from the W (approx. 280 degrees). ",,2023/03/01 02:45:00+00,lellio44,2023/03/01 02:45:00+00,lellio44,,,4.34,230.0,145.0,1800,,C-T/DOD-5 (LB),0,,,280.0,6,Jul,2200,EDT,0,unknown,no,Québec
