Abbreviated,Location,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Type,Years
NU,Nunavut,-14.68,-32.39,-32.99,-29.84,-20.62,-9.02,0.88,6.37,4.5,-2.03,-11.34,-21.52,-28.17,temperature,1901-1930
ON,Ontario,-0.16,-19.22,-17.75,-10.1,-0.76,7.11,13.31,16.68,15.03,10.2,3.58,-5.15,-14.87,temperature,1901-1930
PE,Prince Edward Island / Île-du-Prince-Édouard,4.83,-8.34,-8.74,-3.4,2.18,8.3,13.73,18.08,17.4,13.41,8.06,1.96,-4.68,temperature,1901-1930
QC,Quebec / Québec,-3.41,-21.21,-20.65,-14.02,-5.43,2.89,9.03,12.71,11.52,7.01,0.83,-6.93,-16.65,temperature,1901-1930
AB,Alberta,-0.04,-17.88,-14.5,-8.48,1.38,7.9,12.19,15.09,13.44,8.21,2.73,-6.85,-13.76,temperature,1901-1930
SK,Saskatchewan,-0.99,-21.24,-18.23,-10.93,0.27,7.82,13.08,16.34,14.62,8.75,2.37,-7.82,-16.87,temperature,1901-1930
BC,British Columbia / Colombie-Britannique,0.55,-12.17,-9.67,-5.22,0.55,5.59,9.4,12.2,11.4,7.21,2.27,-5.3,-9.62,temperature,1901-1930
YK,Yukon,-7.36,-26.4,-22.14,-17.1,-7.84,1.36,7.95,10.52,8.3,2.62,-5.15,-17.39,-23.01,temperature,1901-1930
MB,Manitoba,-2.88,-24.05,-21.5,-13.77,-2.71,5.44,11.84,15.88,14.09,8.2,1.09,-9.4,-19.67,temperature,1901-1930
NB,New Brunswick / Nouveau-Brunswick,3.33,-11.93,-11.19,-4.42,2.15,8.82,14.11,17.66,16.16,11.7,6.13,-0.87,-8.42,temperature,1901-1930
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,-2.19,-17.08,-16.62,-11.04,-4.4,2.15,7.47,12.07,11.31,7.06,1.12,-5.25,-13.05,temperature,1901-1930
CAN,Canada,-5.12,-22.69,-21.5,-16.13,-7.12,1.76,8.36,12.44,10.95,5.44,-1.93,-11.81,-19.16,temperature,1931-1960
NT,Northwest Territories / Territoires du Nord-Ouest,-9.2,-28.79,-27.93,-22.65,-12.03,-0.72,7.35,11.44,9.52,3.14,-5.89,-18.33,-25.51,temperature,1931-1960
NS,Nova Scotia / Nouvelle-Écosse,5.91,-5.49,-5.91,-2.02,3.55,8.98,13.75,17.79,17.51,13.72,8.43,3.37,-2.81,temperature,1931-1960
NU,Nunavut,-14.26,-31.48,-32.66,-28.69,-20.09,-8.53,0.92,6.59,4.9,-1.63,-11.09,-21.68,-27.71,temperature,1931-1960
ON,Ontario,0.38,-18.2,-16.4,-9.96,-0.49,7.4,13.71,17.26,15.96,10.43,4.24,-5.15,-14.28,temperature,1931-1960
PE,Prince Edward Island / Île-du-Prince-Édouard,5.43,-7.17,-7.36,-3.27,2.71,8.77,14.1,18.47,18.08,13.95,8.22,2.84,-4.16,temperature,1931-1960
QC,Quebec / Québec,-2.84,-20.4,-19.24,-13.32,-4.81,3.09,9.43,13.16,12.08,7.37,1.23,-6.46,-16.26,temperature,1931-1960
AB,Alberta,0.45,-17.18,-14.13,-8.14,1.67,8.89,12.56,15.68,14.0,9.15,3.03,-6.84,-13.33,temperature,1931-1960
SK,Saskatchewan,-0.4,-20.42,-17.48,-10.59,0.56,8.74,13.33,17.32,15.52,9.65,2.89,-8.16,-16.11,temperature,1931-1960
BC,British Columbia / Colombie-Britannique,0.89,-11.32,-9.15,-4.96,0.96,6.24,9.71,12.27,11.51,7.85,2.36,-5.38,-9.34,temperature,1931-1960
YK,Yukon,-7.05,-25.25,-22.07,-16.51,-7.1,1.71,8.17,10.58,8.36,2.96,-5.07,-16.99,-23.44,temperature,1931-1960
MB,Manitoba,-2.42,-23.22,-20.73,-13.53,-2.79,6.0,11.99,16.75,15.06,8.77,1.65,-9.88,-19.08,temperature,1931-1960
NB,New Brunswick / Nouveau-Brunswick,3.97,-10.6,-9.64,-4.34,2.66,9.29,14.45,18.05,16.98,12.31,6.37,0.01,-7.89,temperature,1931-1960
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,-1.78,-16.05,-15.22,-10.51,-4.12,2.01,7.7,12.28,11.56,7.37,1.36,-5.08,-12.74,temperature,1931-1960
CAN,Canada,-5.1,-22.74,-20.96,-15.91,-6.97,1.82,8.7,12.41,10.95,5.19,-2.06,-12.03,-19.56,temperature,1961-1990
NT,Northwest Territories / Territoires du Nord-Ouest,-9.1,-28.96,-27.22,-22.49,-11.64,-0.54,8.01,11.58,9.54,2.99,-5.98,-19.02,-25.51,temperature,1961-1990
NS,Nova Scotia / Nouvelle-Écosse,5.83,-5.85,-6.08,-1.89,3.29,8.93,14.06,17.72,17.52,13.35,8.35,3.29,-2.77,temperature,1961-1990
NU,Nunavut,-14.42,-31.45,-31.98,-29.35,-20.5,-8.92,1.11,6.48,4.71,-1.99,-11.38,-21.83,-28.0,temperature,1961-1990
ON,Ontario,0.39,-18.72,-16.38,-9.23,-0.02,7.97,13.64,17.17,15.66,10.19,4.01,-4.8,-14.84,temperature,1961-1990
PE,Prince Edward Island / Île-du-Prince-Édouard,5.28,-7.64,-7.66,-3.16,2.35,8.69,14.37,18.34,18.0,13.43,8.09,2.68,-4.06,temperature,1961-1990
QC,Quebec / Québec,-2.86,-20.45,-19.35,-13.34,-4.73,3.34,9.51,13.15,11.98,7.09,1.09,-6.23,-16.39,temperature,1961-1990
AB,Alberta,0.58,-16.86,-12.8,-7.18,2.16,8.88,13.26,15.44,14.23,8.82,3.2,-7.74,-14.41,temperature,1961-1990
SK,Saskatchewan,-0.2,-20.21,-16.28,-9.5,1.11,8.96,14.29,17.0,15.64,9.33,2.91,-8.35,-17.24,temperature,1961-1990
BC,British Columbia / Colombie-Britannique,1.0,-10.98,-8.02,-4.27,1.05,5.88,9.81,12.36,11.89,7.69,2.43,-5.93,-9.97,temperature,1961-1990
YK,Yukon,-7.1,-25.74,-21.78,-16.07,-6.99,1.67,8.24,10.91,8.7,2.97,-5.48,-18.25,-23.45,temperature,1961-1990
MB,Manitoba,-2.35,-23.37,-20.15,-12.99,-2.22,6.36,12.68,16.47,14.91,8.41,1.54,-9.73,-20.07,temperature,1961-1990
NB,New Brunswick / Nouveau-Brunswick,3.87,-11.11,-9.8,-4.06,2.46,9.24,14.8,17.97,16.83,11.85,6.19,-0.11,-7.88,temperature,1961-1990
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,-1.6,-16.07,-15.43,-10.49,-3.91,2.63,8.29,12.67,11.82,7.23,1.28,-4.62,-12.59,temperature,1961-1990
CAN,Canada,-4.23,-21.2,-20.04,-15.0,-6.42,2.26,9.38,13.02,11.6,6.03,-1.7,-10.97,-17.68,temperature,1991-2020
NT,Northwest Territories / Territoires du Nord-Ouest,-7.89,-26.43,-25.23,-20.9,-10.7,0.1,8.88,12.24,10.03,3.67,-5.6,-17.31,-23.47,temperature,1991-2020
NS,Nova Scotia / Nouvelle-Écosse,6.49,-5.24,-5.28,-1.64,3.64,9.38,14.38,18.29,18.28,14.47,8.97,3.9,-1.31,temperature,1991-2020
NU,Nunavut,-13.37,-30.32,-31.13,-27.95,-19.56,-8.43,2.09,7.33,5.36,-1.12,-10.29,-20.18,-26.3,temperature,1991-2020
ON,Ontario,1.07,-17.54,-15.56,-8.55,0.04,8.3,14.45,17.49,16.31,11.18,3.96,-4.37,-12.86,temperature,1991-2020
PE,Prince Edward Island / Île-du-Prince-Édouard,5.92,-7.1,-6.95,-2.95,2.64,9.12,14.68,18.85,18.76,14.53,8.68,3.32,-2.55,temperature,1991-2020
QC,Quebec / Québec,-2.09,-19.91,-19.19,-12.98,-4.43,3.92,10.25,13.98,13.07,8.18,1.89,-5.59,-14.22,temperature,1991-2020
AB,Alberta,1.24,-14.6,-11.83,-6.31,2.35,8.87,13.32,15.84,14.56,9.49,2.58,-6.76,-12.62,temperature,1991-2020
SK,Saskatchewan,0.46,-17.87,-15.3,-8.46,1.18,8.68,14.32,17.3,16.02,10.22,2.29,-7.52,-15.33,temperature,1991-2020
BC,British Columbia / Colombie-Britannique,1.7,-9.2,-7.38,-3.89,1.62,6.65,10.38,12.94,12.43,8.18,2.36,-5.11,-8.56,temperature,1991-2020
YK,Yukon,-5.88,-23.29,-19.75,-15.55,-5.53,2.86,9.24,11.52,9.2,3.47,-4.92,-16.82,-20.98,temperature,1991-2020
MB,Manitoba,-1.62,-21.28,-19.15,-11.86,-2.15,6.19,13.09,16.76,15.46,9.4,1.21,-9.06,-18.09,temperature,1991-2020
NB,New Brunswick / Nouveau-Brunswick,4.54,-10.44,-9.22,-3.96,2.72,9.78,15.14,18.49,17.64,13.03,6.8,0.54,-6.06,temperature,1991-2020
NL,Newfoundland and Labrador / Terre-Neuve-et-Labrador,-1.02,-15.86,-15.63,-10.34,-3.57,3.08,8.76,13.22,12.9,8.27,2.28,-4.2,-11.13,temperature,1991-2020
