Organization,Program,2017-18 - Expenditures,2018-19 - Expenditures,2019-20 - Expenditures,2020-21 - Expenditures,2021-22 - Expenditures,2023-24 - Planned Spending,2024-25 - Planned Spending,2025-26 - Planned Spending
Canadian Radio-television and Telecommunications Commission,Connection to the Communication System,873480.04,0,0,0,0,0,0,0
Canadian Radio-television and Telecommunications Commission,Protection within the Communication System,5453327.85,0,0,0,0,0,0,0
Canadian Radio-television and Telecommunications Commission,Internal Services,3902202.17,0,0,0,0,0,0,0
Canadian Radio-television and Telecommunications Commission,Internal Services,0,2991159.03,2606125.74,9937340.84,3274306.89,4305528,3106481,3106481
Canadian Space Agency,Future Canadian Space Capacity,86057723.65,0,0,0,0,0,0,0
Canadian Space Agency,"Space Data, Information and Services",105497130.18,0,0,0,0,0,0,0
Canadian Space Agency,Space Exploration,101602305.82,0,0,0,0,0,0,0
Canadian Space Agency,Space Exploration,0,107152415.27,105123235.74,112038891.76,145564876.34,287151189,87503859,59835693
Canadian Space Agency,Space Utilization,0,69060162.18,79779783.08,54262083.45,55146295.51,89751040,75797632,52484080
Canadian Space Agency,Space Capacity Development,0,78498512.99,87707905.27,105653273.7,107231878.53,99440464,102304000,91183168
Canadian Space Agency,Internal Services,60300827.13,0,0,0,0,0,0,0
Canadian Space Agency,Management and Oversight Services,0,11758532.32,12484781.66,13694224.66,12267693.03,15978912,16412464,16954840
Canadian Space Agency,Communications Services,0,4673024.73,4953372.41,5325198.75,5123721.16,4694208,4792424,4815424
Canadian Space Agency,Legal Services,0,612731.29,1026992.48,1336575.45,1243754.49,730360,731512,731512
Canadian Space Agency,Human Resources Management Services,0,3719444.27,4095167.82,4684880.38,5137185.91,6490048,6308560,6338208
Canadian Space Agency,Financial Management Services,0,5294172.89,5721093.55,6264082.42,7277143.37,4950128,5101104,5091120
Canadian Space Agency,Information Management Services,0,2428189.75,2108049.58,2466863.63,2606901.65,3683584,3612640,3685640
Canadian Space Agency,Information Technology Services,0,4896368.02,5799061.08,6938666.11,9104484.12,6120920,6293960,6306176
Canadian Space Agency,Real Property Management Services,0,16695247.58,14471290.91,16466152.03,15995250.16,17152144,18189944,22764688
Canadian Space Agency,Materiel Management Services,0,341349.04,395504.55,438945.42,459364.4,227296,276448,276448
Canadian Space Agency,Acquisition Management Services,0,615449.29,769852.51,839814.54,949600.4,1031944,1039944,1039944
Correctional Service Canada,Custody,1695534842.29,0,0,0,0,0,0,0
Correctional Service Canada,Correctional Interventions,438244602.57,0,0,0,0,0,0,0
Correctional Service Canada,Community Supervision,160381207.95,0,0,0,0,0,0,0
Correctional Service Canada,Institutional Management and Support,0,127379686.88,124970620.06,165572078.35,179869860.58,266763785,147186182,146585225
Correctional Service Canada,Supervision,0,744855475.23,768242603.72,893315551.1,864157078,866186242,854420591,850932014
Correctional Service Canada,Drug Enforcement,0,12608823.9,12838934.26,12682078.26,12344699.22,12877076,12879955,12827366
Correctional Service Canada,Clinical Services and Public Health,0,165931615.56,184002958.42,228027584.08,203013804.3,197697459,197718127,196910849
Correctional Service Canada,Mental Health Services,0,86523947.93,96412396.63,101774508.4,103141471.79,111887651,124463330,123955150
Correctional Service Canada,Food Services,0,71278975.4,80794712.52,96456586.48,88612388.74,90701789,90710944,90340574
Correctional Service Canada,Accommodation Services,0,455915090.22,402126958.65,377264894.73,411518214.46,430989725,435090714,433314250
Correctional Service Canada,Preventive Security and Intelligence,0,0,0,0,0,20328516,20331732,20248718
Correctional Service Canada,Offender Case Management,0,225938545.96,233912620.42,264080202.35,250988649.72,258611231,258650900,257594835
Correctional Service Canada,Community Engagement,0,8257084.45,8098547.81,8193725.16,7937645.44,8581120,8582336,8547295
Correctional Service Canada,Chaplaincy Services,0,9837029.51,10183982.02,8219458.61,10152162.31,11533282,11533643,11486551
Correctional Service Canada,Elder Services,0,8160429.25,8669384.65,8702980.54,7824412.93,7112788,7112802,7083761
Correctional Service Canada,Correctional Program Readiness,0,12384003.69,12318494.71,0,0,0,0,0
Correctional Service Canada,Correctional Programs,0,56354813.66,57299482.72,0,0,0,0,0
Correctional Service Canada,Correctional Program Maintenance,0,14003402.27,14400092.12,0,0,0,0,0
Correctional Service Canada,Offender Education,0,23329717.8,24749514.75,26786252.78,27969090.18,28863865,28867431,28749566
Correctional Service Canada,CORCAN Employment and Employability,0,54388923.09,62067339.83,60697843.08,54587082.81,45444424,43964823,40665992
Correctional Service Canada,Social Program,0,19962425.24,20891752.41,24484264.32,23783320.08,24166678,24170444,24071757
Correctional Service Canada,Correctional Programs,0,0,0,94638812.4,91387794.69,92640431,92654855,92276548
Correctional Service Canada,Community Management and Security,0,22503972.64,22693123.32,23626710.48,23838392.73,26691042,26693815,26584825
Correctional Service Canada,Community-Based Residential Facilities,0,106672903.71,111707909.69,110212981.09,111712957.46,111646251,111646251,111190402
Correctional Service Canada,Community Correctional Centres,0,21655851.45,23010350.16,22698798.8,23688192.89,23063349,23063437,22969270
Correctional Service Canada,Community Health Services,0,15275093.62,15950271.5,15468259.52,16571101.32,16178404,16180377,16114313
Correctional Service Canada,Internal Services,333951327.23,0,0,0,0,0,0,0
Correctional Service Canada,Management and Oversight Services,0,77219361.23,80045716.15,87843331.51,82412506.02,87119186,87328666,86972105
Correctional Service Canada,Communications Services,0,8546028.59,8674024.86,8549793.54,8748781.74,10152331,10208487,10166806
Correctional Service Canada,Legal Services,0,16457345.26,18374694.38,22164853.78,23610191.1,31766166,32259604,32127889
Correctional Service Canada,Human Resources Management Services,0,76918284.01,90051867.82,89490001.83,97583627.51,98776103,99057139,98652691
Correctional Service Canada,Financial Management Services,0,42146706.28,44569195.06,44576890.37,45856199.97,49586645,49754088,49550943
Correctional Service Canada,Information Management Services,0,6448770.29,4975082.12,6041964.8,5974717.54,6306440,6345960,6320050
Correctional Service Canada,Information Technology Services,0,65004623.35,75104512.47,94509540.62,93562541.7,72618377,72781129,72483966
Correctional Service Canada,Real Property Management Services,0,15061262.42,17736309.69,15585331.38,19370219.17,21781422,22006459,21916607
Correctional Service Canada,Materiel Management Services,0,8881443.46,8955429.75,9952658.04,9997685.26,11559739,11597832,11550478
Correctional Service Canada,Acquisition Management Services,0,9418428.45,8992552.2,9598149.82,9708462.87,11424451,11490201,11443287
Communications Security Establishment Canada,Signals Intelligence,443858373.66,0,0,0,0,0,0,0
Communications Security Establishment Canada,Information Technology Security,178615107.96,0,0,0,0,0,0,0
Communications Security Establishment Canada,Provide and Protect Information,0,0,0,0,0,965909359,965909359,965909359
Communications Security Establishment Canada,Foreign Signals Intelligence,0,460601913.56,501214339.23,521012359.61,529674651.56,0,0,0
Communications Security Establishment Canada,Cyber Security,0,221053920.04,259880284.38,258673184.19,271316054.32,0,0,0
Canadian Security Intelligence Service,Intelligence Program,539665365.15,0,0,0,0,0,0,0
Canadian Security Intelligence Service,Security Screening Program,47333588.98,0,0,0,0,0,0,0
Canadian Security Intelligence Service,Security and Intelligence,0,586607955.23,611085093.46,676899700.51,642172826.89,662784872,662784872,662784872
Canadian Transportation Agency,Economic Regulation,11270040.07,0,0,0,0,0,0,0
Canadian Transportation Agency,Adjudication and Alternative Dispute Resolution,9891184.61,0,0,0,0,0,0,0
Canadian Transportation Agency,Analysis and Outreach,0,5287806.66,6089794.43,6844952.89,6393755.15,0,0,0
Canadian Transportation Agency,Dispute Resolution,0,10271285.9,11396955.63,14331425.63,14103798.08,14097000,14097000,14097000
Canadian Transportation Agency,Determinations and Compliance,0,8287690.54,8944793.97,9228372.21,9224594.25,8354377,8354377,8354377
Canadian Transportation Agency,Internal Services,7986591.94,0,0,0,0,0,0,0
Canadian Transportation Agency,Internal Services,0,9297407.32,8846241.8,10992478.39,13165739.37,8894185,8894185,8894185
Transportation Safety Board of Canada,Aviation Occurrence Investigations,13968810.43,13513345.45,17304806.03,15363552.78,14499109.31,14840724,14840724,14840724
Transportation Safety Board of Canada,Marine Occurrence Investigations,5778852.18,5486649.17,5068948.06,6035837.59,5708734.43,5843238,5843238,5843238
Transportation Safety Board of Canada,Rail Occurrence Investigations,6038160.97,5976966.37,6070971.64,6450860.87,6878458.73,7040522,7040522,7040522
Transportation Safety Board of Canada,Pipeline Occurrence Investigations,370752.45,360356.36,361485.05,547006.79,569031.83,582439,582439,583439
Transportation Safety Board of Canada,Internal Services,6252708.26,6783585.02,6894275.17,7976504.19,8281582.27,7076731,7076731,7076731
Global Affairs Canada,"Diplomacy, Advocacy, and International Agreements",892020703.01,0,0,0,0,0,0,0
Global Affairs Canada,"Mission Network Governance, Strategic Direction and Common Services",724413944.18,0,0,0,0,0,0,0
Global Affairs Canada,Consular Services and Emergency Management,47169194.54,0,0,0,0,0,0,0
Global Affairs Canada,"Integrated Foreign Affairs, Trade, and Development Policy",85887171.68,0,0,0,0,0,0,0
Global Affairs Canada,International Commerce,205025708.64,0,0,0,0,0,0,0
Global Affairs Canada,Management of Government of Canada Terms and Conditions of Employment Abroad,244324563.4,0,0,0,0,0,0,0
Global Affairs Canada,International Policy Coordination,0,71780757.98,47870030.55,40069861.14,37245199.26,36428921,36445993,36697220
Global Affairs Canada,"Trade, Investment and International Economic Policy",0,21485776.55,0,0,0,0,0,0
Global Affairs Canada,Multilateral Policy,0,463643203.5,471319276.81,456650121.47,415199327.83,431514780,431505678,431529789
Global Affairs Canada,International Law,0,20632126.2,20370465.57,21566839.9,22096580.34,21857521,21853918,21863560
Global Affairs Canada,The Office of Protocol,0,31416739.41,32933836.79,24134054.12,30870749.33,42478165,42466092,42489473
Global Affairs Canada,"Europe, Arctic, Middle East and Maghreb Policy & Diplomacy",0,81382511.18,80375863.58,78885826.67,81346178.59,66028487,65646212,63084814
Global Affairs Canada,Americas Policy & Diplomacy,0,87937159.08,101057106.15,98378834.8,99671023.52,86886829,86869794,86524001
Global Affairs Canada,Asia Pacific Policy & Diplomacy,0,40478973.96,38172871.52,39451153.78,39825072.74,50487551,59843004,56377305
Global Affairs Canada,Sub-Saharan Africa Policy & Diplomacy,0,13550192.84,14402881.93,13217528.9,15279233.9,10604322,10752631,10761574
Global Affairs Canada,Geographic Coordination and Mission Support,0,6046640.96,9674595.85,6351454.43,7342976.63,5297442,5297052,5301831
Global Affairs Canada,Gender Equality and the Empowerment of Women and Girls,0,1580892.3,1881736.37,0,0,0,0,0
Global Affairs Canada,Humanitarian Action,0,1564624.12,1951914.08,0,0,0,0,0
Global Affairs Canada,Human Development: Health & Education,0,2764326.97,3023233.44,0,0,0,0,0
Global Affairs Canada,Growth that works for everyone,0,2139081.82,1851649.9,0,0,0,0,0
Global Affairs Canada,Environment and Climate Action,0,1962960.24,4110354.95,0,0,0,0,0
Global Affairs Canada,"Human Rights, Governance, Democracy & Inclusion",0,8368651.3,0,0,0,0,0,0
Global Affairs Canada,Peace and Security Policy,0,109253055.25,3641524.07,0,0,0,0,0
Global Affairs Canada,Inclusive Governance,0,0,2250148.18,0,0,0,0,0
Global Affairs Canada,International Security Policy and Diplomacy,0,0,107774681.61,108038703.32,107512594.2,114933939,113964992,113999193
Global Affairs Canada,International Assistance Policy,0,0,0,12287346.44,13195557.34,13135838,13136664,13148634
Global Affairs Canada,"Trade Policy, Agreements, Negotiations and Disputes",0,64444977.37,58871148.15,57415199.49,56739105.22,42409407,42414681,42445166
Global Affairs Canada,Trade Controls,0,27221017.6,31201825.92,25221569.19,23976770.79,15640162,15631540,15648280
Global Affairs Canada,International Business Development,0,88656479.62,103915122.66,99839142.54,108112632.94,128413448,128819281,128900019
Global Affairs Canada,International Innovation and Investment,0,24406899.94,27112233.78,32249145.21,31125645.77,46511074,44980138,44995314
Global Affairs Canada,"Europe, Arctic, Middle East and Maghreb Trade",0,29410500.77,36923019.3,36657041.16,38283845.58,30278961,30265311,30308474
Global Affairs Canada,Americas Trade,0,35381989.03,39202951.16,30132380.2,33100232.29,41664694,41645595,41302909
Global Affairs Canada,Asia Pacific Trade,0,42241335.79,45107033.75,43058607.43,44709766.45,39566039,39555315,39600127
Global Affairs Canada,Sub-Saharan Africa Trade,0,8482023.31,8621048.1,7385309.29,6696065.56,7364040,7360159,7377261
Global Affairs Canada,International Assistance Operations,0,3601389.07,4074527.34,3618376.21,4391298.9,4124157,4126078,4131134
Global Affairs Canada,Humanitarian Assistance,0,838476565.6,799326476.54,1366440473.82,1004378209.66,873068107,873067690,873070165
Global Affairs Canada,Partnerships for Development Innovation,0,339530864.39,427361333.01,523189751.81,293514076.46,426493199,426528390,421551548
Global Affairs Canada,Multilateral International Assistance,0,1457329418.97,1553028915.92,2944807439.08,2442375508.16,1491205891,1586755305,1462982195
Global Affairs Canada,Peace and Stabilization Operations,0,172172232.46,200376270.99,155321976.73,151246276.01,180361764,184858103,163853834
Global Affairs Canada,Anti-Crime and Counter-Terrorism Capacity Building,0,78937891.27,50341684.03,45859980.24,66948892.94,48826319,48820054,48830658
Global Affairs Canada,Weapons Threat Reduction,0,79791722.65,70538889.18,68914025.92,87655154.93,71218289,71220106,71226021
Global Affairs Canada,Canada Fund for Local Initiatives,0,16367993.9,17652736.91,20922950.28,25971577.26,31482883,31482341,31483565
Global Affairs Canada,"Europe, Arctic, Middle East and Maghreb International Assistance",0,208597002.99,215188343.04,225043034.45,229466423.15,138169492,138024459,137779729
Global Affairs Canada,Americas International Assistance,0,260113010.81,228259940.31,288816160.84,230041625.16,307840589,307908517,307923846
Global Affairs Canada,Asia Pacific International Assistance,0,318313077.87,296117667.04,319456782.15,241557637.64,349292538,286472635,286501308
Global Affairs Canada,Sub-Saharan Africa International Assistance,0,641269575.37,611365174.63,679191589.2,615286836.38,776705544,776709689,776727207
Global Affairs Canada,Grants and Contributions Policy and Operations,0,14137551.24,14813168.37,15970091.3,15630071.74,18278202,18270215,18289807
Global Affairs Canada,"Office of Human Rights, Freedom and Inclusion (OHRFI) Programming",0,0,0,17465864.89,23598561.1,11532668,11531491,11533749
Global Affairs Canada,Consular Assistance and Services for Canadians Abroad,0,43769125.64,47278292.93,73826298.09,47702738.3,56362045,57965984,57365721
Global Affairs Canada,Emergency Preparedness and Response,0,13532514.94,29232233.58,61629814.73,7195392.47,10376760,10370968,10396726
Global Affairs Canada,Platform Corporate Services,0,15522849.49,18805494.19,21786705.63,28368320.72,26671492,26547491,26551157
Global Affairs Canada,Foreign Service Directives,0,179440342.81,200902978.65,163764578.95,191211897.22,188307999,188308440,188421789
Global Affairs Canada,Client Relations and Mission Operations,0,239727002.66,258315982.62,247577452.83,246662487.18,271105693,259412988,261210836
Global Affairs Canada,Locally Engaged Staff Services,0,75079183.62,74261480.75,78143897.89,86210793.63,109782536,113440687,109040090
Global Affairs Canada,Real Property Planning and Stewardship,0,300607638.96,289681138.96,251561811.67,289724467.93,363892678,353702300,353787472
Global Affairs Canada,"Real Property Project Delivery, Professional and Technical Services",0,90088421.82,88831686.21,77008406.7,71740392.5,145730653,128063066,103036656
Global Affairs Canada,Mission Readiness and Security,0,62590586.44,53256470.71,55483013.04,60694582.4,74677685,75441791,75896907
Global Affairs Canada,Mission Network IM/IT,0,74283876.51,65636855.44,87502552.19,88504883.66,76379804,77405811,77509752
Global Affairs Canada,International Security and Democratic Development,533784781.94,0,0,0,0,0,0,0
Global Affairs Canada,International Development,2685829909.72,0,0,0,0,0,0,0
Global Affairs Canada,International Humanitarian Assistance,893272777.12,0,0,0,0,0,0,0
Global Affairs Canada,Internal Services,262558259.27,0,0,0,0,0,0,0
Global Affairs Canada,Management and Oversight Services,0,51055967.07,51516258.93,54907464.77,54570116.22,71391712,71506912,71370356
Global Affairs Canada,Communications Services,0,25076498.39,26627306.75,30609786.65,30918221.57,28936741,28904458,28830099
Global Affairs Canada,Legal Services,0,8851994.96,8626456.99,9073807.07,11351793.32,12788120,12760037,12731992
Global Affairs Canada,Human Resources Management Services,0,62515526.91,67352502.64,69914075.43,70493208.53,73197582,73184150,73071624
Global Affairs Canada,Financial Management Services,0,33536270.29,54275685.26,58639019.22,51091028.58,41910845,41582796,41933014
Global Affairs Canada,Information Management Services,0,11142160.08,8449747.83,9535217.91,11467916.98,14386816,14123395,14096228
Global Affairs Canada,Information Technology Services,0,24689460,19693285.69,29114987.06,27097972.07,19918964,19824022,19766358
Global Affairs Canada,Real Property Management Services,0,28068492.97,28335620.52,51545399.75,46157493.73,22147229,22442441,22680058
Global Affairs Canada,Materiel Management Services,0,3310.84,-759.79,-779.62,1807358.65,1664131,1664048,1664048
Global Affairs Canada,Acquisition Management Services,0,2422883.64,3762797.42,4074770.01,6848987.89,6906326,6845977,6806023
Environment and Climate Change Canada,Biodiversity - Wildlife and Habitat,159446461.35,0,0,0,0,0,0,0
Environment and Climate Change Canada,Water Resources,81868846.86,0,0,0,0,0,0,0
Environment and Climate Change Canada,Weather and Environmental Services for Canadians,190036448.03,0,0,0,0,0,0,0
Environment and Climate Change Canada,Substances and Waste Management,91591829.6,0,0,0,0,0,0,0
Environment and Climate Change Canada,Weather and Environmental Services for Targeted Users,18913509.88,0,0,0,0,0,0,0
Environment and Climate Change Canada,Sustainable Ecosystems,103586093.07,0,0,0,0,0,0,0
Environment and Climate Change Canada,Compliance Promotion and Enforcement - Pollution,44627306.95,0,0,0,0,0,0,0
Environment and Climate Change Canada,Clean Growth and Climate Change Mitigation,0,281256193.33,338441563.2,439525765.66,319345904.24,777847583,763386423,708149280
Environment and Climate Change Canada,International Environment and Climate Action,0,36676060.71,27939206.96,32721972.35,36660103.64,73803338,72144346,61832815
Environment and Climate Change Canada,Climate Change Adaptation,0,23151793.17,25093183.77,23614711.05,25376498.44,25102331,22754642,20511190
Environment and Climate Change Canada,Air Quality,0,73262795.34,75442313.26,78232918.56,75634644.93,70289578,70136992,68350687
Environment and Climate Change Canada,Water Quality and Ecosystems Partnerships,0,102781624.19,98157336.73,92056136.01,94352193.42,130507819,113143259,98162338
Environment and Climate Change Canada,Community Eco-Action,0,25229074.35,25036652.97,24235238.24,49541604.4,16721050,16202031,15921820
Environment and Climate Change Canada,Substances and Waste Management,0,103590139.44,127021348.96,120878784.22,117582563.73,150235461,115254427,89911133
Environment and Climate Change Canada,Compliance Promotion and Enforcement - Pollution,0,43372895.57,45089913.15,44862296.99,42950039.23,52682140,51872814,51195460
Environment and Climate Change Canada,Species at Risk,0,79491838.98,87124479.76,98476496.61,128095658.71,153718879,159910261,163669168
Environment and Climate Change Canada,Migratory Birds and Other Wildlife,0,42236827.96,44001232.69,47945517.18,48476293.02,57931708,58225239,55312948
Environment and Climate Change Canada,Habitat Conservation and Protection,0,73281487.95,121279782.62,177851217.82,187325467.29,410122087,429341311,409873952
Environment and Climate Change Canada,Biodiversity Policy and Partnerships,0,12527719.81,6086884.15,6493646.17,7978021.63,6471424,6469591,6425999
Environment and Climate Change Canada,Environmental Assessment,0,15079422.46,15402240.17,16121207.43,18953054.29,27242096,29182983,26559921
Environment and Climate Change Canada,Compliance Promotion and Enforcement - Wildlife,0,19689448.01,19382850.64,19963663.71,22835402.34,21923550,21889835,21279666
Environment and Climate Change Canada,"Weather and Environmental Observations, Forecasts and Warnings",0,207175561.55,223837564.54,213143001.81,233514914.36,191110135,152646358,152625043
Environment and Climate Change Canada,Hydrological Services,0,30701819.46,36433219.15,39586017.48,41216953.06,38476325,28462441,28462442
Environment and Climate Change Canada,Climate Change and Clean Air,228206538.5,0,0,0,0,0,0,0
Environment and Climate Change Canada,Compliance Promotion and Enforcement - Wildlife,18680550.73,0,0,0,0,0,0,0
Environment and Climate Change Canada,Internal Services,227849281.76,0,0,0,0,0,0,0
Environment and Climate Change Canada,Management and Oversight Services,0,50109354.63,54968174.66,55646953.19,58505418.86,50026604,49636202,49577188
Environment and Climate Change Canada,Communications Services,0,20612623.62,19097308.3,18933305.58,21578841.29,18052148,17845852,17690681
Environment and Climate Change Canada,Legal Services,0,8979175.36,10166349.66,9426383.2,8367468.35,9786969,9701810,9665301
Environment and Climate Change Canada,Human Resources Management Services,0,30676562.92,32154511.65,30797356.68,29764784.06,30962502,30783766,30538647
Environment and Climate Change Canada,Financial Management Services,0,24070432.11,25845833.86,26846535.5,27266057.41,27371073,27169774,27030678
Environment and Climate Change Canada,Information Management Services,0,11940966.44,13122025.92,13382435.51,15804569.82,13005149,13185749,13352945
Environment and Climate Change Canada,Information Technology Services,0,35772415.6,35921065.51,43931033.99,50813048.01,33219594,32416519,31923132
Environment and Climate Change Canada,Real Property Management Services,0,34426143.15,31702066.87,65809275.96,42965160,50097273,45810340,45130827
Environment and Climate Change Canada,Materiel Management Services,0,3788342.08,3468989.9,3131846.02,3855577.41,3693817,3693864,3693930
Environment and Climate Change Canada,Acquisition Management Services,0,3473973.84,3448521.26,3172870.66,4128422.64,5677041,5543394,5419344
Export Development Canada,International Commerce,51198690.3,0,0,0,0,0,0,0
Export Development Canada,Export Development Canada (Canada Account),0,9036764.6,8589502.8,253018024.29,1255643280.24,0,0,0
RCMP External Review Committee,Appeal case reviews,1576424.17,2311207.34,0,0,0,0,0,0
RCMP External Review Committee,Appeal case reviews,0,0,3132900.58,3185516.18,3874704.55,6465921,6465921,6465921
Federal Bridge Corporation,The Federal Bridge Corporation Limited,20047537.82,0,0,0,0,0,0,0
Federal Bridge Corporation,Manage international bridges,0,3463981.7,0,6061390.14,9123879,7381000,7381000,7381000
Financial Consumer Agency of Canada,Supervision and Enforcement,0,4997440.29,6143739.3,6915340.76,7595602.02,0,0,0
Financial Consumer Agency of Canada,Financial Literacy,0,6160194.94,5364753.28,4692116.29,6546130.4,0,0,0
Financial Consumer Agency of Canada,Internal Services,0,14386893.99,18822698.72,23428539.33,24516604.79,0,0,0
Financial Consumer Agency of Canada,Financial Consumer Agency of Canada,21517840.25,0,0,0,0,0,0,0
Federal Economic Development Agency for Northern Ontario,Business Development,0,0,0,0,57311655.02,37225333,19534288,21449338
Federal Economic Development Agency for Northern Ontario,Regional Innovation Ecosystem,0,0,0,0,6565048.02,9740319,10497332,11175089
Federal Economic Development Agency for Northern Ontario,Community Economic Development and Diversification,0,0,0,0,23490853.12,18989617,18158539,20351021
Federal Economic Development Agency for Northern Ontario,Internal Services,0,0,0,0,1853395.19,5077664,5023312,5060035
Federal Economic Development Agency for Southern Ontario,Community Economic Development,102547579.14,0,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Technological Innovation,70271088.04,0,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Advanced Manufacturing,0,32735854.61,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Commercialization Partnerships,0,43460392.66,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Business Growth and Productivity,0,68987903.68,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Business Investment,0,13349709.01,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Business Services,0,2745558.14,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Community Futures Program,0,12703678.35,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Eastern Ontario Development Program,0,10488734.68,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Official Languages Minority Communities,0,1528596.96,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Regional Diversification,0,34057326.1,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Business Scale Up and Productivity,0,0,105172363.43,80641563.36,66939823.56,177332777,108669983,107036224
Federal Economic Development Agency for Southern Ontario,Regional Innovation Ecosystem,0,0,69333999.98,82308980.19,93338189.33,128092975,60300753,53436380
Federal Economic Development Agency for Southern Ontario,Community Economic Development and Diversification,0,0,80243504.54,516555934.12,225899786.89,111365989,30483974,31551438
Federal Economic Development Agency for Southern Ontario,Business Development,60782178.44,0,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Internal Services,16650284.15,0,0,0,0,0,0,0
Federal Economic Development Agency for Southern Ontario,Internal Services,0,16648044.24,12754539.69,13240017.41,13937680.19,14711745,14013129,13377968
Department of Finance Canada,Economic and Fiscal Policy Framework,77789847.86,0,0,0,0,0,0,0
Department of Finance Canada,Treasury and Financial Affairs,21203500848.65,0,0,0,0,0,0,0
Department of Finance Canada,Transfer and Taxation Payment Programs: Employment and Income Security,31053647626,0,0,0,0,0,0,0
Department of Finance Canada,Transfer and Taxation Payment Programs: Economic Development,610623,0,0,0,0,0,0,0
Department of Finance Canada,Transfer and Taxation Payment Programs: Health,37423933953,0,0,0,0,0,0,0
Department of Finance Canada,Transfer and Taxation Payment Programs: Heritage and Culture,0,0,0,0,0,0,0,0
Department of Finance Canada,Transfer and Taxation Payment Programs: International Development,523002548,0,0,0,0,0,0,0
Department of Finance Canada,Tax Policy and Legislation,0,22420907.46,22443136.17,23120418.92,23639005.73,28829262,27237934,27346043
Department of Finance Canada,"Economic and Fiscal Policy, Planning and Forecasting",0,10224471.67,10405761.89,32612398.38,21098955.37,13433616,13281712,13281712
Department of Finance Canada,Economic Development Policy,0,561087542.87,768119233.19,61726428.48,224797891.58,2933942468,3463902936,4345773936
Department of Finance Canada,Federal-Provincial Relations and Social Policy,0,9089762.71,9308688.9,28202680.24,9164436.55,9476647,9475341,9475341
Department of Finance Canada,Financial Sector Policy,0,102414065.63,14478995.06,67718084.16,16057174.86,21857135,19412942,18180794
Department of Finance Canada,International Trade and Finance Policy,0,10422675.82,8880552.45,8540356.34,8643930.6,9495611,9494073,9494073
Department of Finance Canada,Canada Health Transfer,0,38567639641.43,40871861510.76,41880464074.6,47133260701.88,49420938608,52401258608,54245008608
Department of Finance Canada,Fiscal Arrangements with Provinces and Territories,0,31916032209.85,32687490347.85,54040293730.87,35206291881.05,38051349203,39958619884,41201739144
Department of Finance Canada,Tax Collection and Administration Agreements,0,698267.75,793621.83,715401.3,798474.62,748598,748598,748598
Department of Finance Canada,Commitments to International Financial Organizations,0,504409585.64,503660894.88,569726196.69,579307797.68,538827379,538539790,575723995
Department of Finance Canada,Market Debt and Foreign Reserves Management,0,22348291789.29,23901268771.49,20896814813.91,23116963806.45,37861000000,37666000000,37810400000
Department of Finance Canada,Internal Services,44232683.96,0,0,0,0,0,0,0
Department of Finance Canada,Management and Oversight Services,0,10724182.85,10720322.64,13271165.37,11539520.14,12222222,12119053,12234415
Department of Finance Canada,Communications Services,0,9217527.76,8421313.06,10664889.68,10254899.26,9830536,9828596,9705355
Department of Finance Canada,Legal Services,0,3307110.94,3398841.21,3962060.94,4141054.55,4599586,4599587,4599587
Department of Finance Canada,Human Resources Management Services,0,5395253.69,5927987.56,6093231.64,6090788.94,5858280,5626183,6097213
Department of Finance Canada,Financial Management Services,0,2883599.57,3038975.67,3019046.6,3101463.73,3235681,3234150,3110910
Department of Finance Canada,Information Management Services,0,1473805.48,1386548.24,1551833.48,1384674.5,2412643,2411251,2288011
Department of Finance Canada,Information Technology Services,0,8955896.18,7786054.59,8695731.06,8641712.89,6602623,6602406,6479168
Department of Finance Canada,Real Property Management Services,0,2315633.73,2575260.92,2310581.7,2128808.63,1506313,1506273,1528201
Department of Finance Canada,Materiel Management Services,0,188281.71,183849.21,154946.81,188437.18,305965,305965,305965
Department of Finance Canada,Acquisition Management Services,0,517948.64,530016.72,569804.09,556952.94,607306,607279,607279
Office of the Commissioner for Federal Judicial Affairs Canada,Canadian Judicial Council,3342443.71,0,0,0,0,0,0,0
Office of the Commissioner for Federal Judicial Affairs Canada,Federal Judicial Affairs,8743390.51,0,0,0,0,0,0,0
Office of the Commissioner for Federal Judicial Affairs Canada,Payments Pursuant to the Judges Act,555637296.4,0,0,0,0,0,0,0
Office of the Commissioner for Federal Judicial Affairs Canada,Payments pursuant to the Judges Act,0,582951202.49,614696265.57,613473724.51,656497927.51,719315411,745269853,755553867
Office of the Commissioner for Federal Judicial Affairs Canada,Federal Judicial Affairs,0,8709151.13,9909089.29,10177440.13,10557895.13,10579816,10579816,10579816
