Organization,Vote 2021-22 / Statutory - Description,2017-18 - Total budgetary authority available for use,2017-18 - Expenditures,2018-19 - Total budgetary authority available for use,2018-19 - Expenditures,2019-20 - Total budgetary authority available for use,2019-20 - Expenditures,2020-21 - Total budgetary authority available for use,2020-21 - Expenditures,2021-22 - Total budgetary authority available for use,2021-22 - Expenditures
Accessibility Standards Canada,Grants & Contributions - 5,0,0,0,0,3250000,1488358,5500000,5237602,8500000,8499998
Accessibility Standards Canada,Contributions to employee benefit plans,0,0,0,0,21274,21274,499112,499112,655981,655981
Canadian Air Transport Security Authority,Payments to Crown Corps - 1,760684214,723429207,862808268,817770631,898271254,847862166,917728788,686325308,859539905,686115078
Canadian Air Transport Security Authority,Budget Implementation Vote - 5,0,0,0,0,0,0,0,0,0,0
Copyright Board Canada,Operating/Program - 1,3088584,2972383,3795669,3419308,3967123,3719526,4079594,3489970,4052152,3297681
Copyright Board Canada,Contributions to employee benefit plans,258616,258616.64,314290,314290,350504,350504,412418,412418,352991,352991
Canadian Broadcasting Corporation,Payments to Crown Corps - 1,1110262485,1110262485,1097822413,1097822413,1098113846,1098113846,1291402479,1291402479,1139694241,1139694241
Canadian Broadcasting Corporation,Payments to Crown Corps - 5,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000
Canadian Broadcasting Corporation,Payments to Crown Corps - 10,107821000,107821000,109009000,109009000,108684000,108684000,71513000,71513000,106729000,106729000
Canada Border Services Agency,Operating/Program - 1,1757949134,1500393332,2051119813,1811958474,1939596099,1746415721,2078375406,1810515397,2368460499,2107469835
Canada Border Services Agency,Capital - 5,296525673,108227899,264388567,134439896,244895934,124738637,301262971,151711192,253190344,143527489
Canada Border Services Agency,Budget Implementation Vote - 10,0,0,0,0,928920,0,0,0,0,0
Canada Border Services Agency,Budget Implementation Vote - 15,0,0,0,0,500000,0,0,0,0,0
Canada Border Services Agency,Budget Implementation Vote - 20,0,0,0,0,21798880,0,0,0,0,0
Canada Border Services Agency,Budget Implementation Vote - 25,0,0,0,0,2120113,0,0,0,0,0
Canada Border Services Agency,Budget Implementation Vote - 30,0,0,0,0,28032443,0,0,0,0,0
Canada Border Services Agency,Budget Implementation Vote - 35,0,0,0,0,1550000,0,0,0,0,0
Canada Border Services Agency,Collection Agency Fees,0,0,0,0,0,0,508,508,0,0
Canada Border Services Agency,Contributions to employee benefit plans,159697622,159697621.3,208412008,208412008,192589704,192589704,204960084,204960084,226975525,226975525
Canada Border Services Agency,Refunds of amounts credited to revenues in previous years,45504,45504.21,5147,5147,12578,12578,2134,2134,17995,17995
Canada Border Services Agency,Spending of proceeds from the disposal of surplus Crown assets,120069,70985.07,171243,122158,664624,583367,401447,248533,880878,727147
Canada Council for the Arts,Payments to Crown Corps - 1,258714308,258714308,292790894,292790894,327771295,327771295,365831145,365831145,510389080,510389080
Canada Council for the Arts,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,62800000,62800000,0,0
Canada School of Public Service,Operating/Program - 1,68247875,67189658,68285518,67457841,65791215,64204260,70125158,68095613,66506242,64740705
Canada School of Public Service,Contributions to employee benefit plans,6453976,6453975.82,8030740,8030740,8751948,8751948,9275429,9275429,8978196,8978196
Canada School of Public Service,Spending of proceeds from the disposal of surplus Crown assets,9731,0,6193,6193,449,0,642,449,4499,193
Canada School of Public Service,Spending of revenues pursuant to subsection 18(2) of the Canada School of Public Service Act,17677420,2646000,16164413,9740365,13335390,8424048,12528669,4911342,17966144,7617327
Canadian Centre for Occupational Health and Safety,Operating/Program - 1,4323279,4323279,4341683,4341683,4590663,4590663,7469523,6557694,6920961,6223821
Canadian Centre for Occupational Health and Safety,Contributions to employee benefit plans,1028903,1028903.11,1069711,1069711,1139284,1139284,1279977,1279977,1390491,1390491
Canadian Centre for Occupational Health and Safety,Spending of Revenues pursuant to Section 6(1)(g) of the Canadian Centre for Occupational Health and Safety Act,7478763,4804790.52,9870697,5148654,10884838,5451043,12159240,3867982,14841622,5478720
Canada Revenue Agency,Operating/Program - 1,3823713925,3692875684,3582433407,3419027688,3785608037,3504436228,4379581838,3904606162,4717149385,4038060959
Canada Revenue Agency,Capital - 5,80801558,73594724,84964124,58683080,62301781,52522568,89114115,76464375,113773937,70185516
Canada Revenue Agency,Budget Implementation Vote - 10,0,0,0,0,196404,0,0,0,0,0
Canada Revenue Agency,Budget Implementation Vote - 15,0,0,0,0,2856861,0,0,0,0,0
Canada Revenue Agency,Budget Implementation Vote - 20,0,0,0,0,1996530,0,0,0,0,0
Canada Revenue Agency,Budget Implementation Vote - 25,0,0,0,0,2072225,0,0,0,0,0
Canada Revenue Agency,Budget Implementation Vote - 30,0,0,0,0,6868488,0,0,0,0,0
Canada Revenue Agency,Budget Implementation Vote - 35,0,0,0,0,2301415,0,0,0,0,0
Canada Revenue Agency,Budget Implementation Vote - 40,0,0,0,0,17594,0,0,0,0,0
Canada Revenue Agency,Children's special allowance payments,333553349,333553349.38,338745215,338745215,351623087,351623087,381821812,381821812,372417276,372417276
Canada Revenue Agency,Climate Action Incentive Payment,0,0,663758550,663758550,2629934241,2629934241,4546974222,4546974222,3761940968,3761940968
Canada Revenue Agency,Collection Agency Fees,124,123.86,0,0,0,0,0,0,0,0
Canada Revenue Agency,Contributions to employee benefit plans,440013189,440013189.27,453144604,453144604,462465755,462465755,585801011,585801011,597673249,597673249
Canada Revenue Agency,Court Awards,1186686,1186686.12,5436202,5436202,1570705,1570705,4377507,4377507,12230695,12230695
Canada Revenue Agency,"Disbursements to provinces under the Softwood Lumber Products Export Charge Act, 2006",0,0.31,0,0,0,0,0,0,0,0
Canada Revenue Agency,Distribution of Fuel and Excess Emission Charges,0,0,0,0,5609890,5609890,18451056,18451056,52422245,52422245
Canada Revenue Agency,Losses on Foreign Exchange,7916,7915.98,6859,6859,5049,5049,16393,16393,4412.64,4412.64
Canada Revenue Agency,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,117142056,117142056,0,0
Canada Revenue Agency,Refunds of amounts credited to revenues in previous years,844,843.4,8,8,42091,42091,0,0,1418,1418
Canada Revenue Agency,Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
Canada Revenue Agency,Spending of proceeds from the disposal of surplus Crown assets,62735,62735.1,119852,119852,94882,94882,92874,92874,62658,62658
Canada Revenue Agency,Spending of revenues received through the conduct of its operations pursuant to section 60 of the Canada Revenue Agency Act,166387494,166387494.17,182105000,182105000,189819164,189819164,348161271,348161271,584204517,584204517
Canadian Dairy Commission,Operating/Program - 1,3934160,3924160,4054782,3979440,3967223,3967223,4576877,4576877,4291407,4291407
Impact Assessment Agency of Canada,Operating/Program - 1,36634525,36373415,50597197,44050777,53850300,49805531,55280759,52204032,54950999,48831292
Impact Assessment Agency of Canada,Grants & Contributions - 5,0,0,0,0,14525184,7388431,18939140,18438377,22022274,17015295
Impact Assessment Agency of Canada,Contributions to employee benefit plans,3448745,3448745.1,3513244,3513244,6252935,6252935,6241080,6241080,6154149,6154149
Office of the Chief Electoral Officer,Operating/Program - 1,32302382,31903703,33820175,32244015,47065240,41497127,53786108,51533545,52753401,51176989
Office of the Chief Electoral Officer,Collection Agency Fees,41,40.66,631,631,0,0,0,0,0,0
Office of the Chief Electoral Officer,Contributions to employee benefit plans,7364154,7364153.72,8474698,8474698,11863719,11863719,12541187,12541187,14586796,14586796
Office of the Chief Electoral Officer,Electoral expenditures,92018614,92018614,142653341,142653341,517202172,517202172,144113278,144113278,557874140,557874140
Office of the Chief Electoral Officer,Expenses under Electoral Boundary Readjustment Act,0,0,0,0,0,0,303195,303195,3287562,3287562
Office of the Chief Electoral Officer,Salary of the Chief Electoral Officer,199026,199026.36,362427,362427,332653,332653,338956,338956,361266,361266
Office of the Chief Electoral Officer,Spending of proceeds from the disposal of surplus Crown assets,183,182.77,13361,13361,666,666,0,0,1095,1095
Telefilm Canada,Payments to Crown Corps - 1,103572036,103572036,101898978,101898978,109378949,109378949,153754871,102307749,295355701,151228599
Telefilm Canada,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,30000492,30000492,0,0
Military Grievances External Review Committee,Operating/Program - 1,7183457,6179818,6547882,5709819,6563033,5723311,6848341,6392704,6711875,6282615
Military Grievances External Review Committee,"Canadian Regulatory Authority (Budget Implementation Act, 2009)",1093,1092.8,214,214,0,0,0,0,0,0
Military Grievances External Review Committee,Contributions to employee benefit plans,545546,545545.9,599856,599856,652573,652573,802516,802516,742446,742446
Canadian Food Inspection Agency,Operating/Program - 1,611123508,594596763,610678989,596495919,637909878,593506878,682570950,671065891,679697871,672493842
Canadian Food Inspection Agency,Capital - 5,63655679,43874129,43084442,35491934,27467367,23566954,24921425,22383733,33840336,23874546
Canadian Food Inspection Agency,Budget Implementation Vote - 10,0,0,0,0,616458,0,0,0,0,0
Canadian Food Inspection Agency,Budget Implementation Vote - 15,0,0,0,0,512464,0,0,0,0,0
Canadian Food Inspection Agency,Budget Implementation Vote - 20,0,0,0,0,2671241,0,0,0,0,0
Canadian Food Inspection Agency,Budget Implementation Vote - 25,0,0,0,0,7678490,0,0,0,0,0
Canadian Food Inspection Agency,Collection Agency Fees,76,76.05,17,17,15,15,9,9,22,22
Canadian Food Inspection Agency,"Compensation payments in accordance with requirements established by Regulations under the Health of Animals Act and the Plant Protection Act, and authorized pursuant to the Canadian Food Inspection Agency Act",6372561,6372561.27,4172539,4172539,6465506,6465506,10346580,10346580,3816364,3816364
Canadian Food Inspection Agency,Contributions to employee benefit plans,68329901,68329900.92,78023758,78023758,75427764,75427764,75881687,75881687,79876542,79876542
Canadian Food Inspection Agency,Refunds of amounts credited to revenues in previous years,126640,126639.75,31285,31285,92559,92559,11158,11158,98763,98763
Canadian Food Inspection Agency,Spending of Revenues pursuant to Section 30 of the Canadian Food Inspection Agency Act,69830648,25417775.49,95175564,77664983,71633243,52561837,77483939,29669629,109159253,44186355
Canadian Food Inspection Agency,Spending of proceeds from the disposal of surplus Crown assets,545332,299738.89,745270,426856,676282,645230,232683,204932,131479,102400
Canadian Grain Commission,Operating/Program - 1,5405742,5404973,5151309,5145076,5033085,5023176,6161694,6136350,5821203,5775465
Canadian Grain Commission,Canadian Grain Commission Revolving Fund,121789470,-8887666.03,130677136,-3657010,134334146,-2963596,137297742,-18686462,155984204,9554400
Canadian Grain Commission,Contributions to employee benefit plans,510491,510490.5,637689,637689,629245,629245,665500,665500,664770,664770
Canadian Grain Commission,Spending of proceeds from the disposal of surplus Crown assets,8659,8658.79,27402,27402,16366,16366,38705,38705,51479,51479
Canadian Heritage,Operating/Program - 1,236621820,216015962,212331399,200005588,215475781,204714364,225364056,216160906,254112592,235891268
Canadian Heritage,Grants & Contributions - 5,1264743211,1258198236,1198503582,1184159842,1358410415,1320217181,1367112583,1295750508,1955437690,1741121909
Canadian Heritage,Budget Implementation Vote - 10,0,0,0,0,0,0,0,0,0,0
Canadian Heritage,Budget Implementation Vote - 15,0,0,0,0,67305,0,0,0,0,0
Canadian Heritage,Budget Implementation Vote - 20,0,0,0,0,93368,0,0,0,0,0
Canadian Heritage,Budget Implementation Vote - 25,0,0,0,0,261313,0,0,0,0,0
Canadian Heritage,Budget Implementation Vote - 30,0,0,0,0,35735,0,0,0,0,0
Canadian Heritage,Budget Implementation Vote - 35,0,0,0,0,279489,0,0,0,0,0
Canadian Heritage,Budget Implementation Vote - 40,0,0,0,0,106004,0,0,0,0,0
Canadian Heritage,Contributions to employee benefit plans,22231510,22231509.79,22611802,22611802,22767004,22767004,26302812,26302812,26503027,26503027
Canadian Heritage,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,420430389,420430389,0,0
Canadian Heritage,Payments under the Lieutenant Governors Superannuation Act,890716,890715.64,1025484,1025484,1089527,1089527,1021472,1021472,1010318,1010318
Canadian Heritage,Salaries of the Lieutenant Governors,1431113,1431113.39,1464077,1464077,1480340,1480340,1546402,1546402,1616001,1616001
Canadian Heritage,Salary and Motor Car Allowance,86200,86200.07,85940,85940,88063,88063,91200,91200,133423,133423
Canadian Heritage,Spending of proceeds from the disposal of surplus Crown assets,41125,20749,24676,20378,20432,14632,28767,14812,58342,38359
Canadian Heritage,Supplementary retirement benefits - Former Lieutenant Governors,192147,192147.26,191110,191110,203840,203840,223746,223746,219874,219874
Canadian Human Rights Commission,Operating/Program - 1,20853034,20494500,21098744,20276310,28152910,22301770,31979174,27629936,36398111,31955241
Canadian Human Rights Commission,Budget Implementation Vote - 5,0,0,0,0,68970,0,0,0,0,0
Canadian Human Rights Commission,Contributions to employee benefit plans,2412483,2412483.09,2436536,2436536,2739951,2739951,3369223,3369223,3831609,3831609
Canadian Human Rights Commission,Spending of proceeds from the disposal of surplus Crown assets,312,312.17,93,0,93,92,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Operating/Program - 1,775225737,751928332,926397253,879421147,1122745120,1027830097,1203109510,1035081680,1631197891,1289129883
"Immigration, Refugees and Citizenship Canada",Capital - 5,37526991,22056966,31060360,21317943,29185359,16313249,38915148,14993379,42474703,22662237
"Immigration, Refugees and Citizenship Canada",Debt Forgiveness - 7,397019,389166,0,0,0,0,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Grants & Contributions - 10,1350170934,1304457410,1588541613,1437038724,1940098036,1827665242,1985585606,1699198193,1913205266,1771143168
"Immigration, Refugees and Citizenship Canada",Debt Forgiveness - 15,0,0,267245,262273,0,0,6912,6911,2766,2765
"Immigration, Refugees and Citizenship Canada",Budget Implementation Vote - 15,0,0,0,0,35321555,0,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Debt Forgiveness - 20,0,0,0,0,0,0,311847,287807,172941,171538
"Immigration, Refugees and Citizenship Canada",Budget Implementation Vote - 20,0,0,0,0,4156277,0,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Budget Implementation Vote - 25,0,0,0,0,2463899,0,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Budget Implementation Vote - 30,0,0,0,0,11250000,0,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Budget Implementation Vote - 35,0,0,0,0,0,0,0,0,0,0
"Immigration, Refugees and Citizenship Canada",Contributions to employee benefit plans,66470104,66470104.02,73167907,73167907,77941021,77941021,93351331,93351331,100440720,100440720
"Immigration, Refugees and Citizenship Canada",Court Awards,65417,65416.69,1018,1018,33178,33178,0,0,65040,65040
"Immigration, Refugees and Citizenship Canada",Fees returned in connection with a terminated application,1028938,1028938.28,619250,619250,341680,341680,140410,140410,98530,98530
"Immigration, Refugees and Citizenship Canada",Fees returned in connection with a terminated application in Investor and Entrepreneur Classes,419763,419763.44,223210,223210,102180,102180,49280,49280,26630,26630
"Immigration, Refugees and Citizenship Canada",Passport Canada Revolving Fund (Revolving Funds Act),1022550147,-236352341.16,1258902488,-14158031,1273060519,101307641,1171752878,307079052,864673826,251457202
"Immigration, Refugees and Citizenship Canada",Refunds of amounts credited to revenues in previous years,6698512,6698511.86,5857194,5857194,8975525,8975525,9252600,9252600,15956105,15956105
"Immigration, Refugees and Citizenship Canada",Salary and Motor Car Allowance,84600,84600,86000,86000,87500,87500,89200,89200,90700,90700
"Immigration, Refugees and Citizenship Canada",Spending of proceeds from the disposal of surplus Crown assets,27292,2044.85,35614,22122,24259,2207,50316,42207,32117,28762
Canadian Intergovernmental Conference Secretariat,Operating/Program - 1,5885063,5084084,5888971,4975659,5914090,5083797,5942134,4285564,5903542,4538500
Canadian Intergovernmental Conference Secretariat,Contributions to employee benefit plans,289643,289642.47,294915,294915,341812,341812,379679,379679,355275,355275
Canadian Intergovernmental Conference Secretariat,Spending of proceeds from the disposal of surplus Crown assets,0,0,0,0,470,0,470,0,0,0
Canadian Institutes of Health Research,Operating/Program - 1,56745991,55987769,57880254,57010795,61744355,60554665,59764670,56644229,68220076,61439597
Canadian Institutes of Health Research,Grants & Contributions - 5,1035847429,1035405341,1095042508,1087884193,1137200900,1134827280,1348726872,1235880411,1317018166,1315234184
Canadian Institutes of Health Research,Budget Implementation Vote - 10,0,0,0,0,35988,0,0,0,0,0
Canadian Institutes of Health Research,Budget Implementation Vote - 15,0,0,0,0,0,0,0,0,0,0
Canadian Institutes of Health Research,Contributions to employee benefit plans,5768075,5768074.37,6032139,6032139,6668909,6668909,7307938,7307938,7625483,7625483
Canadian Institutes of Health Research,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,203628982,203628982,0,0
Canadian Institutes of Health Research,Spending of proceeds from the disposal of surplus Crown assets,7298,0,7298,0,0,0,0,0,0,0
Canadian Museum of History,Payments to Crown Corps - 1,74013063,74013063,76246579,76246579,75728888,75728888,77269696,77269696,84700406,84700406
Canadian Museum of History,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,4256563,4256563,0,0
Canada Mortgage and Housing Corporation,Payments to Crown Corps - 1,2778055809,2689239574,2465963057,2086437654,2744251250,2215671739,3365462397,2876263646,5144252458,4042530388
Canada Mortgage and Housing Corporation,Budget Implementation Vote - 5,0,0,0,0,0,0,0,0,0,0
Canada Mortgage and Housing Corporation,Budget Implementation Vote - 10,0,0,0,0,0,0,0,0,0,0
Canada Mortgage and Housing Corporation,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,2654236314,2654236314,0,0
Canadian Museum for Human Rights,Payments to Crown Corps - 1,25352335,25352335,25335980,25335980,26954953,26954953,26980802,26980802,29336716,29336716
Canadian Museum for Human Rights,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,2206586,2206586,0,0
Canadian Museum of Immigration at Pier 21,Payments to Crown Corps - 1,7962724,7962724,8241303,8241303,7905183,7905183,8556693,8556693,9546694,9546694
Canadian Museum of Immigration at Pier 21,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,2049575,2049575,0,0
Canadian Museum of Nature,Payments to Crown Corps - 1,33268608,33268608,31115297,31115297,29196950,29196950,28975764,28975764,35786569,35681183
Canadian Museum of Nature,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,5927263,5927263,0,0
Canadian Northern Economic Development Agency,Operating/Program - 1,14229425,13632362,15276589,13842157,19094885,18818908,20629968,19782959,21361404,20018430
Canadian Northern Economic Development Agency,Grants & Contributions - 5,40037297,39552941,34270717,30740717,47261760,46756093,95444516,74470328,68763033,66516573
Canadian Northern Economic Development Agency,Budget Implementation Vote - 10,0,0,0,0,92428,0,0,0,0,0
Canadian Northern Economic Development Agency,Budget Implementation Vote - 15,0,0,0,0,28234,0,0,0,0,0
Canadian Northern Economic Development Agency,Budget Implementation Vote - 20,0,0,0,0,424900,0,0,0,0,0
Canadian Northern Economic Development Agency,Contributions to employee benefit plans,1234750,1234749.71,1240138,1240138,1587467,1587467,1966046,1966046,1836511,1836511
Canadian Northern Economic Development Agency,Payments pursuant to the Public Health Events of National Concern Payments Act,0,0,0,0,0,0,4999951,4999951,0,0
Canadian Northern Economic Development Agency,Refunds of amounts credited to revenues in previous years,0,0,3,3,0,0,0,0,0,0
Canadian Northern Economic Development Agency,Spending of proceeds from the disposal of surplus Crown assets,5228,0,27294,0,33225,0,11174,0,15,0
Marine Atlantic Inc.,Payments to Crown Corps - 1,213734000,146682515,151104000,125945000,155904000,130903730,142576235,140567000,149875667,130809588
Canada Post,Payments to Crown Corps - 1,22210000,22210000,22210000,22210000,22210000,22210000,22210000,22209960,22210000,22210000
Polar Knowledge Canada,Operating/Program - 1,22086483,20769053,26972600,23700220,32794357,29434302,30758027,21160655,30846899,26135762
Polar Knowledge Canada,Contributions to employee benefit plans,759074,759073.83,956451,956451,1143190,1143190,1113593,1113593,1199536,1199536
Polar Knowledge Canada,Refunds of amounts credited to revenues in previous years,0,0,0,0,0,0,1023,1023,0,0
Polar Knowledge Canada,Spending of revenue pursuant to section 6(2) of the Canadian High Arctic Research Station Act,0,0,0,0,0,0,293063,0,569532,0
Canadian Race Relations Foundation,Payments to Crown Corps - 1,0,0,0,0,0,0,0,0,6180001,6180001
Canadian Radio-television and Telecommunications Commission,Operating/Program - 1,7731159,5810415,7812862,4817270,7459012,4757165,85443076,31390085,13083159,6142914
