Geography,Disability,Number,Percent
"Thunder Bay, Ontario",Persons without disabilities,"58,250",73.8
"Winnipeg, Manitoba","Total population, with and without disabilities 7","617,800",100
"Winnipeg, Manitoba",Persons with disabilities,"152,300",24.7
"Winnipeg, Manitoba",Persons without disabilities,"465,500",75.3
"Regina, Saskatchewan","Total population, with and without disabilities 7","187,950",100
"Regina, Saskatchewan",Persons with disabilities,"45,350",24.1
"Regina, Saskatchewan",Persons without disabilities,"142,600",75.9
"Saskatoon, Saskatchewan","Total population, with and without disabilities 7","230,100",100
"Saskatoon, Saskatchewan",Persons with disabilities,"50,450",21.9
"Saskatoon, Saskatchewan",Persons without disabilities,"179,650",78.1
"Lethbridge, Alberta","Total population, with and without disabilities 7","85,200",100
"Lethbridge, Alberta",Persons with disabilities,"23,550",27.6
"Lethbridge, Alberta",Persons without disabilities,"61,650",72.4
"Calgary, Alberta","Total population, with and without disabilities 7","1,106,800",100
"Calgary, Alberta",Persons with disabilities,"210,000",19
"Calgary, Alberta",Persons without disabilities,"896,800",81
"Edmonton, Alberta","Total population, with and without disabilities 7","1,048,550",100
"Edmonton, Alberta",Persons with disabilities,"241,000",23
"Edmonton, Alberta",Persons without disabilities,"807,550",77
"Kelowna, British Columbia","Total population, with and without disabilities 7","152,950",100
"Kelowna, British Columbia",Persons with disabilities,"36,350",23.8
"Kelowna, British Columbia",Persons without disabilities,"116,600",76.2
"Abbotsford-Mission, British Columbia 9","Total population, with and without disabilities 7","147,050",100
"Abbotsford-Mission, British Columbia 9",Persons with disabilities,"39,000",26.5
"Abbotsford-Mission, British Columbia 9",Persons without disabilities,"108,050",73.5
"Vancouver, British Columbia","Total population, with and without disabilities 7","2,001,900",100
"Vancouver, British Columbia",Persons with disabilities,"410,510",20.5
"Vancouver, British Columbia",Persons without disabilities,"1,591,390",79.5
"Victoria, British Columbia","Total population, with and without disabilities 7","307,700",100
"Victoria, British Columbia",Persons with disabilities,"89,250",29
"Victoria, British Columbia",Persons without disabilities,"218,450",71
