VidID,User,Date,Comment
eIrMbAQSU34,Ka Lok LEUNG,1 year ago,Hello Mosh! I am your student which have taken several courses from you for half year and it is pretty useful for me. I really glad to learn from you as a Java developer. I wanna know would you design a course for Java spring root? It has been a popular Java framework for many years. I an looking forward to taking the course if you could provide! Thz alot for your effort!  
eIrMbAQSU34,Krutika Ranpise,1 year ago,Very easy way to learn java with this course. Previously I was always scared to learn java. But this course really boost confidence in me. Learning java with fun. Thanks   
eIrMbAQSU34,Amusera,10 months ago,"Thank you for being so simple, kind and patient when explaining. It really makes a change to have a good professor  "
eIrMbAQSU34,Mike Chu,1 year ago,"Hi, Mosh. For the part of Reading Input, shouldn t we add scanner.close() method to prevent the ""resource/memory leak""?  "
eIrMbAQSU34,Ausward Wander,8 months ago,"Am a beginner in programming world but wow this java course is really helping me out, now i can see myself doing my projects in Java, Thanx Mosh, i appreciate your effort for this video.  "
eIrMbAQSU34,Austinismyname,3 years ago,"I’d failed Java once in college a few years ago, and I’ve been procrastinating getting started on my current Java project for my current degree program. You have taught me more in 45 minutes (so far, looking forward to finishing the video!) than I’ve been able to learn up to this point otherwise (my mind rails against reading a textbook, to my chagrin).    "
eIrMbAQSU34,Void,1 year ago,Not even half way through the video and this already helped me with a college assignment as well as strengthening my understanding for the concepts being shown.  
eIrMbAQSU34,Daniel Oluwapomile,1 month ago,About to learn the whole semester in one night. Thank you Mosh   
eIrMbAQSU34,Lakshmi Anjan,4 months ago (edited),Excellent teaching Mosh. You have covered the basics of Java programming very well. Really loved it and didn t feel like pausing. I also enrolled for your Java mastery course and I am really really feeling more confident about my java programming skills. You teach the complex concepts so beautifully and methodically that its so easy to understand and remember. Thank you so much.  
eIrMbAQSU34,That Guy,1 year ago,"Literally the best java tutorial out there, explains the code instead of just copy pasting and giving a vague ten word summary of what it does. you are amazing  "
eIrMbAQSU34,wammy,6 months ago,"Just completed it and have to say i really loved this tutorial !! And to those who are starting this i ll advice you to write code other than that being taught here on your own , this way you ll really enjoy learning JAVA !  "
eIrMbAQSU34,Kee McDaniel,2 years ago,I LOVE Mosh s instruction style SO much. I ve spent hours upon hours on so many platforms these past few months...this video was everything I needed! It provoked me to look at his more in-depth courses. Bought the Java Bundle...then wound up signing up for unlimited access. It s just too damn awesome for me not to! I learn so much in the Mosh pit!! :)  
eIrMbAQSU34,Anh Huynh,1 year ago,"Currently, taking Java class and I would say that this is the best java tutorial video I ve ever. Thank you for your work!!!  "
eIrMbAQSU34,X X X,8 months ago,"You will help me ace my class! You use the same tools as the book and all, gives a better understanding of everything!  "
eIrMbAQSU34,do u know who Deez is,9 months ago,bro your an absolute king. it is so easy to understand and the time stamps are such a nice touch  
eIrMbAQSU34,Abde Samad,1 year ago,thank you so much for the amazing video. I just started and tom the get-go I know this is going to be one of the best Java tutorials for anyone who wants to learn to program. Again truly appreciate your lessons  ️️️️  
eIrMbAQSU34,Precious Emmanuel,8 months ago,Passion-driven! I love your tutorship mosh!  
eIrMbAQSU34,Imre Dosa,2 years ago,"This is the far most straightforward and to the point Java tutorial I ve come across. Cheat sheet is great to brush up rarely used details. Congrats, Mosh!  "
eIrMbAQSU34,TheJoshhes,1 year ago (edited),"This is a fantastic tutorial!  It s straightforward, It s descriptive, It s informative,    "
eIrMbAQSU34,Stamatis Loukas,10 months ago,"1:03:00 I can confirm Greek people pronounce ""pi"" as you did on your first lecture. I m a Greek 18 year old and I m studying Information and Electronic Engineering (that means I also study programming languages). It s been 12 months since I first got in touch with this profession and many of my classes are in English. It felt uncomfortable when I heard how ""pi"" was pronounced in English, considering π is a Greek letter and I usually know English pronunciations. Greetings from Thessaloniki! You helped me with your videos!    "
eIrMbAQSU34,Farddin,2 weeks ago,Having knowledge is different thing... But the way u express it is so called teaching skills.. 
eIrMbAQSU34,The Mom Corner,1 year ago,"I would be remiss if I did not share how much I have learned in less than an hour. Thank you so much for sharing your knowledge. I have not completed the video yet, but I already feel more confident than I did reading the textbook provided in my college course. I wish I could give this video a million thumbs up!  "
eIrMbAQSU34,susmeloltrol,2 years ago,0:00:00 Introduction   0:01:46 Installing Java  0:03:59 Anatomy of a Java Program   0:08:41 Your First Java Program     
eIrMbAQSU34,Leo Liao,1 year ago,Very clear demonstration! I love this episode!  
eIrMbAQSU34,100 subs only challenge 🥺,11 months ago,I completed this course by taking notes. Thank you so much life saver Mosh. Sending virtual love  
eIrMbAQSU34,ImLuctor,1 year ago,"I like it how you explain it in-depth, i always start with your video as you are good with helping new coders or coders who try another language.  "
eIrMbAQSU34,KOYAJA BRIGHT,2 months ago,Thanks so much sir In fact I am new in this programming field with zero experience but this tutorial has taught me a lot   
eIrMbAQSU34,Darren Dsouza,1 year ago (edited),"At 34:27 for reference types,their s no need to put (x:1,y:1) we can directly add(1,1)(must be new update) hope this helps  Same with 49:49 in the replace function of Strings Thanks!  "
eIrMbAQSU34,Noob,1 year ago,You re the best programming teacher ever. Your approach makes coding easy to understand. I ve watched some tutorials and i was completely lost...not anymore!  
eIrMbAQSU34,Phil Forward,5 months ago,Wow! I studied computer science for 9 years and you just sum it up in 2 hours!  Amazing Tutorial and very well and clearly explained! You are amazing!  
eIrMbAQSU34,Chess Noob,1 year ago,"Took me close to 4 hours to finish it, but eventually did and learned a lot :)  "
eIrMbAQSU34,Achuo Maxwell Buh SC20A827,10 months ago,You re the best I ve come accross so far sir... Thanks very much... you ve simplified everything making it so interesting to learn and easy to understand  
eIrMbAQSU34,Nashi Tundra,4 weeks ago (edited),"I got halfway through your python tutorial and switched to java because I wanted to make a Minecraft mod might finish the python tutorial sometime later but this is interesting and very helpful edit: the only reason I switched from python to java was because I couldn t think of anything to do with python, I know there s a lot of things I could do but a lot of things seem out of my grasp "
eIrMbAQSU34,Denise Z,2 years ago,"I can be quite impatient and easily get bored watching tutorials, but not with these ones! There s just something about the tempo and Mosh s voice that keeps me focused :)  "
eIrMbAQSU34,Kanye Best,1 year ago,"Great job, very informative, good examples, well-edited, and all for free  "
eIrMbAQSU34,Sandeep Pokhrel,10 months ago,"I have no words to express my gratitude, being a beginner I had no clue  how to learn java , its been a week now I can sum divide and basic maths  and use some of tractis to run the code . Thankyou so much for making this so simple. much appreciated  "
eIrMbAQSU34,S Ozbeyli,11 months ago,"Thank you Moshe, its great knowledge you shared  it with  us!  "
eIrMbAQSU34,Alihan Demir,1 year ago,Very grateful to you Mosh for teaching us this course. Wish you nothing but the best  
eIrMbAQSU34,Afif Khaja,3 years ago (edited),This is an excellent tutorial. I normally fall asleep watching tutorials longer than 60 minutes but this video kept my interest throughout and Mosh explained the concepts in a simple and straightforward manner. Thanks!  P.S. Mosh went a bit too quickly at the end and I did not have enough time to copy down the code for the mortgage calculator solution    
eIrMbAQSU34,Suki,8 months ago,I started learning Java dev a few weeks ago through a 100% online training and started to feel discouraged on the lessons content then i found you! Thank you so much !!!  
eIrMbAQSU34,princy mol,1 year ago,Thank you so much Mosh. I really enjoyed watching this tutorial and I appreciate your work.  
eIrMbAQSU34,legend_,1 year ago,the way he explains the codes is incredibly fantastic  
eIrMbAQSU34,Sanjay Dodiya,2 months ago,Mosh I don t know how to thank you. This benevolent act of yours is very helpful. The lesson is well-planned  
eIrMbAQSU34,Mohamed Nadhim,1 year ago,"Thank you so much Mosh! I completed learning all my basics from this video today! It felt very lively! Please do keep pressing on, I would love to learn more!  "
eIrMbAQSU34,Lasha Gabashvili,9 months ago,"Have you ever wondered, hmmm I ll never find the exact tutorial I m looking for? and then y all find Mosh here. Thank you so much, helped me a lot, not only on a programming level but on life-changing decisions.  "
eIrMbAQSU34,Muhammed Imdaad,1 year ago (edited),"just scratched Java after spending heavily on C++. What I can say is syntactillay both are very similar, but Java is way easier than C++ with automatic memory management. Anyways looking forward to learn what Java brings to the table which both python and C++ can not. Thx for the amazing tutorial.  "
eIrMbAQSU34,Stefard Tech,1 year ago,"Very nice and well presented, thank you Mosh.  "
eIrMbAQSU34,Lily,7 months ago,"I wish there were more than one Like buttons, so I could like your videos thousands of times. I just started watching the video and I love it. It is an amazing work you are doing. Thanks a lot!  "
eIrMbAQSU34,Bruno Rodrigues,11 months ago,"Dear Mosh, brilliant approach, well done and much appreciated  "
eIrMbAQSU34,بالعربي Tesla,3 years ago,"Mosh, Thanks a ton for this intro video tutorial, I have just started my  University  Software program and this here has made life a lot clearer and easier than my own lecturers.  "
eIrMbAQSU34,prophetjamz94,1 year ago,Currently touching up my JAVA to prepare for an interview and this is amazing! Thanks for this video! By the way is there a more intermediate video for JAVA going into Object Oriented Programming?  
eIrMbAQSU34,viktor sirakov,8 months ago,Such an amazing tutorial. I have been able to code using java because of you. You helped me discover my interest in coding  
eIrMbAQSU34,IzMikaa,1 month ago,"I watched another Java Course before this one, and the difference is absolutely mind-blowing! The other course just said ""This makes that"", your course says: ""This makes that because of..."" Now i really undestand how Java works! Thank you for this perfect course. "
eIrMbAQSU34,Norhan Khairy,8 months ago,Thank you so much for this tutorial. It is concise and mostly covered all the basics in a very little video.  
eIrMbAQSU34,Life Codes,8 months ago,"Mosh, your explanations are so in-depth and simple, that s very easy to understand, remember and practice among tons of programming courses/community on content on YouTube. Thanks for everything.  "
eIrMbAQSU34,Top Most,10 months ago,"thank you very much for this beginner tutorial. Are there the intermediate, advanced and mastery tutorial videos as well?  "
eIrMbAQSU34,AlwaysBlue,1 month ago,"Fantastic tutorial, thank you for this Mosh. You really helped me get through my first Open University Java assignment. Let me show you...  "
eIrMbAQSU34,Musah Yandar,1 year ago,"What I love about your tutorials are clarity; detailed explanations in clear English, clear voice, and clear everything. Thanks, Mosh.  "
eIrMbAQSU34,Sivana Sivana,11 months ago,"Thanks Mosh for creating this class, it s my first in 2022 ,I hope it s not too late.  "
eIrMbAQSU34,Luciana Caracciolo,5 months ago,INCREDIBLE. I learned more with this video than with 2 semesters at University! THANK YOU. You are a great teacher  
eIrMbAQSU34,Manuel Calavera,3 years ago,"I learn Python from you nowadays, and I m going to learn other languages from you as well. You re the best teacher I ve ever had <3  "
eIrMbAQSU34,Kai Indigo Wolf,1 year ago (edited),I m in a bootcamp right now and felt like I was drowning at the end of week one. You boosted my confidence and helped me understand SO much that was glossed over and I m so incredibly grateful! You are such a wonderful teacher. Thank youuuuuu! I have recommended this video to my entire class and also let them know about your website!  
eIrMbAQSU34,PaniniQueen,9 months ago,you are incredible!! I ve been looking forever for exactly this  
eIrMbAQSU34,Dev Shah,1 year ago,"I watched your python tutorial, the 6 and a half hour one, and made quite a few python projects. I really appreciate the effort you put into these videos, really helpful.  "
eIrMbAQSU34,Thimira Akash,11 days ago,Hey thank u for this crystal clear tutorial Mosh!! Can you provide that source code for the Mortgage calculator please? 
eIrMbAQSU34,Cristian Garcia Perez,5 months ago,I was struggling for so long and probably still will but I appreciate how your video begins with the very basics!!!  
eIrMbAQSU34,carcarpwnz,1 year ago,never was able to write a program in my previous java class. solved all of your exercises even though they were harder than that classes. great teacher! 
eIrMbAQSU34,Mr MP,3 years ago,Amazing Teaching methods!!!! I ve been watching different tutorials and reading tons of articles but none of them would even compare to how easy and fast I ve learned programming through your courses and I just wanted to thank you for that.  
eIrMbAQSU34,Hernando Penados,1 year ago (edited),"You are one of the creators who have inspire me... On how to create a career in Java... I thank for that... I use your content as learning material to start up my java understanding... Now i am a content creator myself..! Just because your content teached me much information... Enough to jumpstart my career... Would love to learn more but, i still don t have the income to do so... So ill use this Career so that i can learn more from you... You have supported me in learning... Thank you so much...   "
eIrMbAQSU34,Top Most,11 months ago,"Man, you are amazing!! Thank you for teaching this in a fun way. "
eIrMbAQSU34,yendrrek,1 year ago (edited),"In the chapter ""For-each loop"", below code throws  exception ""Index 3 out of bounds for length 3"", because we are trying to access non existing index.  for (int i = fruits.length; i > 0; i--) {   "
eIrMbAQSU34,SquidSnipes,3 months ago,Just to help some other people that might be confused at the ending of For-each where you try to reverse it. the fruits.length = 3 when you try to index 3 on the fruits array there s no index so just change the [i] inside the print statement to [i - 1]  
eIrMbAQSU34,Richard Rackley,2 years ago,"Mosh, thank you so much for giving an explanation for just about every word that you type, whether it be short and sweet to be elaborated upon at a later time, or an in depth explanation from the start. I get so tired of when teachers tell me to write a ton code only to say ""Don t worry about this line of code, I ll explain later"", or never explain it at all. It s so frustrating since the way I learn and conceptualize is by understanding why I m typing something.    "
eIrMbAQSU34,SS Rajput,1 year ago,"Thanks a lot sir , I am a mechanical engineer want to switch my career in IT industry and start learning programming language as a beginner but I suggest before we go to into this leacture I recommend that first learn the basic fundamentals of java like so that when we start practicing the programme we don t have confusion between the lines of programme .   "
eIrMbAQSU34,Curly Nerdy Shara,1 year ago,Super thankful for your channel  youre better than my professors  NEW SUBSCRIBER HERE! 
eIrMbAQSU34,Zhuo Yang,3 weeks ago,"Hi Mosh, at 2:21:30, when you loop back the fruits array using a for loop, should be like  for(int i = fruits.length - 1; i >= 0 ; i--) System.out.println(fruits[i]); "
eIrMbAQSU34,aslam,1 year ago,Timestamps  enjoy 0:00:00 Introduction   0:01:46 Installing Java    
eIrMbAQSU34,joy,1 year ago (edited),"personal notes: -sout+tab to print -long seen as int, add L -float seen as double, add F    "
eIrMbAQSU34,kalyani lonkar,1 year ago,"Really a great tutorial, all my blur concepts cleared and learnt a lot new things....thank you so much mosh <3  "
eIrMbAQSU34,Shashi Rekha,1 year ago,"Could you pls upload a video for terraform? you explain everything so well. I m a non-IT person, but you make it so easy for everyone. thank you. "
eIrMbAQSU34,Syeda Fatima,1 year ago,Really a great tutorial. By the way java is extremely similar to c# which I already knew so it really helped me learn this quicker 
eIrMbAQSU34,Hristina Stankovic,1 month ago (edited),"At the 2:10:49 - While loop, you made a mistake, the variable ""i"" should be initiated with 5 in order for the ""Hello World"" expression to be written 5 times (it will be written 5 times if the while condition is (i > 0)). This is the case in which we are decrementing ""i"". The same result can be achieved if we initiate ""i"" with 0 and put this condition in while loop: (i<5) and increment the ""i"". "
eIrMbAQSU34,Mr.Paraselli,1 year ago,I have learned more than hours of reading and programming.. Thank you Mosh  
eIrMbAQSU34,Max Rode,10 months ago,"Mosh: Go ahead and spend 10 to 15 minutes on this exercise Me: Spends 2 hours 15 minutes indeed  Thank you, kind sir. I appreciate all the efforts you did to make this as straightforward as it could be!  "
eIrMbAQSU34,Abid Taqi,1 year ago,I wish I may got your channel earlier in my life. Couldn t imagine that java can be taught so easily after having lectures in my university classes!  
eIrMbAQSU34,Nethra Kashyap,11 months ago,You are absolutely amazing!! you really deserve a lot more!!  
eIrMbAQSU34,Shraddha Prabhakar,1 year ago,oh my god thank you so much sir! you saved all our lives. We must all appreciate that this amazing content was for free.  
eIrMbAQSU34,jesusblessme Heavenly,1 year ago,"Thank you, thank you, thank you . You made me come back to programming after hitting a brick wall in understanding "
eIrMbAQSU34,Veni G,1 year ago,Incredible. what you have done is a great job! and its your years of experience that you are sharing with everyone else for free!.awesome! and thanks 
eIrMbAQSU34,Γιώργος Λιάπης,3 months ago,"thanks for the tutorial and that you spent time helping others. I have one question, can you use visual studio core for the code writting?  "
eIrMbAQSU34,Georgey,1 year ago,"I had always feared Java until I met this video, I am currently working on improving my Java and Python skills and your series have made me change my attitude and also open up my mind even more. Thanks a lot Mosh. Only that I ve gone through all your tutorials trying to find the continuation of this Java course but did not find, kindly... I loved the lessons and have  acquired new skills, thumb up  Guru    "
eIrMbAQSU34,ICloudydust,1 year ago,THANK YOU SO MUCH !! This was the only Java tutorial that actually helped me understand. I m eternally grateful. I ll definitely look into your paid courses. THANK YOU!  
eIrMbAQSU34,Favour Dilichukwu Ozioma,10 months ago,"After watching this for more than  2 weeks and preparing notes of 95 pages, I m finally done...  there are ppl who finished it in a couple days, don t compare yourself with others, take your time and just make sure you get what your doing.  "
eIrMbAQSU34,A.E.M Entertainment,2 weeks ago,"Hi Mosh, i hated school very much and my teachers always call my stupid lol  But NOw you Tutorials Helped me a Lot , Now thanks to you i can make professional Website. I am 17 and NOw i am Working Online . Thanks Again Mosh  "
eIrMbAQSU34,prince bismark,9 months ago,Mosh thanks for really sharing a very exciting piece of lecture I have understood well 
eIrMbAQSU34,Don Leary,6 months ago,"I tried a number of Netbeans videos.  I finally settled on yours.  First of all, you speak very clearly, I couldn t unstand any of the others. Also, you explain every thing at a level that a absolute beginner can understand.  Thank you so much! "
eIrMbAQSU34,J Kater,3 years ago,This is awesome! I m preparing for a 5 month backend software engineering bootcamp and this is helping me so much to prepare! For me you explain it at the perfect speed and your voice and attitude is very calming!  
eIrMbAQSU34,Xiaofei,1 year ago,"Can you imagine? I just utilize this video to learn English terminologies which can help me to get used to the English programming environment. Appreciate for this video, your pronouciation is pretty clear to understand. "
eIrMbAQSU34,Marcelo Rios,1 year ago,"Great Job, Mosh! Thanks for uploading this video! "
eIrMbAQSU34,Adrian Lindermann,1 year ago,"Hey Mosh, what do you think about this approach for the second example?         Scanner scanner = new Scanner(System.in);          System.out.print(""Numero: "");          int numero = scanner.nextInt();   "
eIrMbAQSU34,Lélek Experience,6 months ago,"Using this to get ahead of the first-year uni classes before attending, cheers for all the great info mate. "
eIrMbAQSU34,Mohamed Salah,2 years ago,"Thank you Mosh for this great fast tutorials. All Love   quick note: In the for each loops section, you must decrement one of the array size in the declaration of i  "
eIrMbAQSU34,Francisco,1 year ago,"dude I ve never sat down through a full one of these and I just gotta say this was great! The beginning was a little intimidating, but i pushed through and made it to the end.  Great great explanations.  I love how you threw in the importance of Scope in the end when handling those errors.  that was pretty magic.     "
eIrMbAQSU34,Char Char,1 month ago,Hi sir! Thank you for your video tutorials and for sharing your free cheat sheet in Java. It s really a big help for my studies. 
eIrMbAQSU34,Sumito,1 year ago,Love your youtube videos so much that I just bought the Java Series. Thank you for making it affordable for all of us 
eIrMbAQSU34,hwatabe,1 year ago,"Thanks a lot, Mosh！　Your programming courses are excellent and very understandable even for foreigner like me (Japanese). Because,  your explanation is quite logical, English pronunciation is clear and curriculum is very well organized to get programming skills for writing maintainable cord. "
eIrMbAQSU34,Mercilia Lavina,6 months ago,Hi Mr Mosh you are such an amazing person you shared your knowledge in programming in detail. God Bless You.  
eIrMbAQSU34,Naomi Nyiam,5 months ago,"Hello Mosh, Thank you for taking out time to make a video on java for beginners like me. I really appreciate it.  I couldn t get the cheat sheet. the link could not be found. I m glad I m learning a lot from this, thank you. "
eIrMbAQSU34,Chaitanya Bhavsar,2 years ago,"I m gonna start this video today, hoping to finish it up by tomorrow. Before I do, I just wanna thank you Mosh for being such a superstar and for everything! Thank you so so much!!  "
eIrMbAQSU34,Rebaz Omer,1 year ago,I studied java during for three years in university it seems to hard and much complex now it all free in two hours. I am really grateful for what did you done  appreciate your effort. 
eIrMbAQSU34,Jack Wylde,1 year ago,"Thank you so much for this tutorial. Really helped me kickstart my Java experience! Btw, anyone have an updated link for the cheat sheet?  "
eIrMbAQSU34,Danny Riley,11 months ago,Hi thanks for this. Amazing content. I couldn t find the source code though?  
eIrMbAQSU34,MAA,10 months ago,"Thank you for making such a great video, I learned a lot in those 2,5 hours. "
eIrMbAQSU34,Eric Rubin,10 months ago,"I can listen to Mosh didact for hours, unlike many of his peers, he does not sound monotone or droning. He s got what it takes to teach code.  "
eIrMbAQSU34,gourab kumar,3 years ago (edited),Here are timestamps ️ Enjoy  00:00 Introduction  0:01:46 Installing Java    1.3K 
eIrMbAQSU34,Connor McCartney,1 year ago,Thanks to Mosh I am now very proficient in Python and have a little more than a basic understanding of how to program in Java. This man is a god sent.  
eIrMbAQSU34,Polo Rozos,1 year ago,"Hi Mosh, first of all, thank you very much for this tutorial and for the effort done by you to share all your knowledge. I tried to download the cheat sheet of this tutorial, but I m getting an ""Account Suspended"" page; is there any other way to get it?    "
eIrMbAQSU34,Patricia Qi,4 months ago,"Thank you so much for this tutorial, it resolved me so many confusions from school lecture!  "
eIrMbAQSU34,Electro,1 year ago,"Bro, thank you so much for putting effort into explaining what different things do, i tried to read a pdf on it and it just gave me the code without explaining the pieces. Thank you so much "
eIrMbAQSU34,Frank Berrocal,1 month ago,"Excellent course.   Love the IDE,  thank you. "
eIrMbAQSU34,Vangelis,2 years ago,This tutorial was the only one I found that kept things interesting! Thank you for that Mosh! It was really... beautiful!!  
eIrMbAQSU34,Ivy Hung,1 year ago,"I actually finished watching this whole video,it s so easy to understand! I m really tempted to buy the mastery bundle. "
eIrMbAQSU34,SimpleManPlayingGame,1 year ago,"I just start learning Java and I ve learnt basics such as Flow control,Conditional,OOP... So what should I dive into next? Should I learn advanced Java like Set Map List IO or data structure, algorithm?? Any recommendation ?? "
eIrMbAQSU34,Hakima Arhab,4 months ago (edited),hi . there is a mistake on 2:10 for the while loop. the i should have been initiated to 5 if we wanted to print hello world 5 times and then decrement. this is a great course thank you for what you are doing. 
eIrMbAQSU34,Walangpart2,1 year ago,"You just saved my 1 year of university study to literally 2 hours, I learned making mortgage calculator using your video . THANK YOU SO MUCH ! I LOVE YOU MOSH "
eIrMbAQSU34,Code With Shajahan,1 year ago,"Thank you sir for teaching me java. It s been a couple of months since I have learned python from your tutorials, and now I have completed the basics of java. You are a Fantastic Teacher. May God bless you!  "
eIrMbAQSU34,Light Yagami,1 year ago (edited),"Thanks so much for this Mosh. I hope you don t mind me pointing out a bug in your reverse iterative for loop at 2:21:14. You ll get an index out of range (as length returns the cardinality of the array, but the index goes only up to length minus one since it starts from zero). Also, by using strictly greater than operator, you will stop short of the last item (first element of the array in reverse list). To fix, please change to for (int i = fruits.length - 1; i >= 0; i--) followed by your print statement.    "
eIrMbAQSU34,skill krio,9 months ago,"Hi Mosh, I saw your java tight and loose coupling video. I had certain doubts in loose coupling watched several youtube video and article but still couldn t grasp certain points. I will explain what i understood and what confuses me . In loose coupling we restrict the direct coupling between classes. But in tight coupling we are bound to classes. Let s take an example. I have one Main class and another different class with the name Apple. I am creating instance of any of this class in Main class by    "
eIrMbAQSU34,Evangeline Rigby,1 year ago,"Thank you Mosh very much, helped me lots and I got a head start at coding at school. "
eIrMbAQSU34,Dha Vinci,1 year ago,"I really appreciate the kindness of this channel, it gives me a lot of knowledge in java. As a beginner it really helps me in my study. I enjoyed watching the video and i learn a lot. "
eIrMbAQSU34,Janet Mutua,4 months ago,Amazing content. You made every concept quite easy to understand. 
eIrMbAQSU34,David Allen Dominden,3 years ago,Great tutorial! Glad to see a professional with decades of experience give his knowledge for others for free.  
eIrMbAQSU34,Amir Jafari,1 year ago,Thank you for your helpful tutorials. Do you have any plan for making a tutorial about creating a restful API with Java? 
eIrMbAQSU34,Rafael Delgado,1 year ago,Great video Mosh! I noticed you use some sort of keybind to jump to the end of a line or to the beginning. How do you do that? 
eIrMbAQSU34,AchievingTrophyStatus,5 months ago,I m taking a java course in college right now and my professor isn t very good at teaching. I ve understood and learned more with this than I did with my professor. Thank you for this valuable resource! 
eIrMbAQSU34,Shoaib Sawkar,1 year ago,Thank you Mosh for this great course! 
eIrMbAQSU34,ibrahim ahmethan,11 months ago,life saver tutorial ...  I appreciate your great effort 
eIrMbAQSU34,Sebastian F.,1 year ago (edited),"WOW dude, you re way of teaching is SO AWESOME! I mean, you don t start tutorial by explaining strings, but by showing JVM, files structure and where the executed program is put. This is So awesome and informative! Thanks! I also appreciate that there are subtitles here, they are helpful.  "
eIrMbAQSU34,Dragos Popescu,1 year ago,"Great video, very insightful especially considering the fact that it s free. It s a great introduction for someone who is new to Java. But why is the last part (Clean Coding) missing?  "
eIrMbAQSU34,Ashan Thilochana,1 year ago,Thank you mosh. Your teaching skill is amazing and clear. I loved it  
eIrMbAQSU34,Hade,9 days ago,"I couldn t do worse on the mortgage calculator project, lol. Thank you for the course, Mosh.  "
eIrMbAQSU34,Speedyboi,1 year ago,"This is so much easier to understand than codeacademy, thank you so much!  "
eIrMbAQSU34,senthil murugan,1 year ago,"I love this, this video literally helped me and it was very easy to understand these concepts.Thank you sir "
eIrMbAQSU34,Kristóf Szakál,2 years ago,"i m studying computer science at university, but ive never had a teacher like this, congrats <3  "
eIrMbAQSU34,Nazirul Roslan,1 year ago,This video is well made and simple to follow. Thanks for making this freely available. Actually got your course after watching this. 
eIrMbAQSU34,IQ=0,1 year ago,"27:54 I sometimes put 2 variables on the same line, but only if they are related like for example width and height  "
eIrMbAQSU34,Daiva Darpana,11 months ago,"Thank you for this video. Unlike the others, you explain very well. "
eIrMbAQSU34,Ricardo González,1 year ago,I am so frustrated with my college professor making this course such a pain! But you make it way better!  
eIrMbAQSU34,yaran zhang,8 months ago,"Hi Mosh, I ve been studying with for a while, and I found a few problem in data structure course, can you go review your code? or how can we to contact you wiz those question we have? "
eIrMbAQSU34,Tough Chic,1 year ago,"I enjoyed and needed this so much, I immediately enrolled in your course for all your other levels in this. Learnt more in 25 mins than I did in 3 years for my degree.  "
