,Event Date,Hour,Tide Height (m),Date and Time
109,2022-06-09,13,3.5,2022-06-09 13:00:00
117,2022-06-09,14,2.7,2022-06-09 14:00:00
125,2022-06-09,15,2.7,2022-06-09 15:00:00
133,2022-06-09,16,3.8,2022-06-09 16:00:00
141,2022-06-09,17,5.5,2022-06-09 17:00:00
149,2022-06-09,18,7.4,2022-06-09 18:00:00
157,2022-06-09,19,9.1,2022-06-09 19:00:00
165,2022-06-09,20,10.1,2022-06-09 20:00:00
173,2022-06-09,21,10.3,2022-06-09 21:00:00
181,2022-06-09,22,9.5,2022-06-09 22:00:00
189,2022-06-09,23,8.0,2022-06-09 23:00:00
6,2022-06-10,00,6.1,2022-06-10 00:00:00
14,2022-06-10,01,4.3,2022-06-10 01:00:00
22,2022-06-10,02,2.9,2022-06-10 02:00:00
30,2022-06-10,03,2.4,2022-06-10 03:00:00
38,2022-06-10,04,3.0,2022-06-10 04:00:00
46,2022-06-10,05,4.4,2022-06-10 05:00:00
54,2022-06-10,06,6.3,2022-06-10 06:00:00
62,2022-06-10,07,8.2,2022-06-10 07:00:00
70,2022-06-10,08,9.6,2022-06-10 08:00:00
78,2022-06-10,09,10.2,2022-06-10 09:00:00
86,2022-06-10,10,9.8,2022-06-10 10:00:00
94,2022-06-10,11,8.6,2022-06-10 11:00:00
102,2022-06-10,12,6.8,2022-06-10 12:00:00
110,2022-06-10,13,4.8,2022-06-10 13:00:00
118,2022-06-10,14,3.2,2022-06-10 14:00:00
126,2022-06-10,15,2.3,2022-06-10 15:00:00
134,2022-06-10,16,2.5,2022-06-10 16:00:00
142,2022-06-10,17,3.7,2022-06-10 17:00:00
150,2022-06-10,18,5.6,2022-06-10 18:00:00
158,2022-06-10,19,7.8,2022-06-10 19:00:00
166,2022-06-10,20,9.6,2022-06-10 20:00:00
174,2022-06-10,21,10.6,2022-06-10 21:00:00
182,2022-06-10,22,10.7,2022-06-10 22:00:00
190,2022-06-10,23,9.8,2022-06-10 23:00:00
7,2022-06-11,00,8.0,2022-06-11 00:00:00
15,2022-06-11,01,,2022-06-11 01:00:00
23,2022-06-11,02,,2022-06-11 02:00:00
31,2022-06-11,03,,2022-06-11 03:00:00
39,2022-06-11,04,,2022-06-11 04:00:00
47,2022-06-11,05,,2022-06-11 05:00:00
55,2022-06-11,06,,2022-06-11 06:00:00
63,2022-06-11,07,,2022-06-11 07:00:00
71,2022-06-11,08,,2022-06-11 08:00:00
79,2022-06-11,09,,2022-06-11 09:00:00
87,2022-06-11,10,,2022-06-11 10:00:00
95,2022-06-11,11,,2022-06-11 11:00:00
103,2022-06-11,12,,2022-06-11 12:00:00
111,2022-06-11,13,,2022-06-11 13:00:00
119,2022-06-11,14,,2022-06-11 14:00:00
127,2022-06-11,15,,2022-06-11 15:00:00
135,2022-06-11,16,,2022-06-11 16:00:00
143,2022-06-11,17,,2022-06-11 17:00:00
151,2022-06-11,18,,2022-06-11 18:00:00
159,2022-06-11,19,,2022-06-11 19:00:00
167,2022-06-11,20,,2022-06-11 20:00:00
175,2022-06-11,21,,2022-06-11 21:00:00
183,2022-06-11,22,,2022-06-11 22:00:00
191,2022-06-11,23,,2022-06-11 23:00:00
